step,GoofSpiel4/conv,GoofSpiel4/iters,GoofSpiel4/nodes_touched
0,0.7083333333333333,0,0
1,0.7083333333333333,1,2154
2,0.4822443181818181,2,4308
3,0.4155157431267449,3,6462
4,0.35478629423230906,4,8616
5,0.2807779796446013,5,10770
6,0.21686625844719815,6,12924
7,0.17088793015397513,7,15078
8,0.1805779227157786,8,17232
9,0.16045374080001937,9,19386
10,0.14965482946809952,10,21540
11,0.14983266539950515,11,23694
12,0.1417152293282151,12,25848
13,0.13081405784142935,13,28002
14,0.1270688851582047,14,30156
15,0.13533409800589632,15,32310
16,0.12008373821481119,16,34464
17,0.11128556381655567,17,36618
18,0.10119012914806093,18,38772
19,0.09600888696288584,19,40926
20,0.09120844261474155,20,43080
21,0.086865183442611,21,45234
22,0.09713071071109501,22,47388
23,0.11148234053096127,23,49542
24,0.1038550807372205,24,51696
25,0.09335437155071177,25,53850
26,0.0919990278189064,26,56004
27,0.08464007049173722,27,58158
28,0.07216849971014624,28,60312
29,0.06554036642617479,29,62466
30,0.0633556875453023,30,64620
31,0.061311955689002225,31,66774
32,0.059395957073720904,32,68928
33,0.06406657408296379,33,71082
34,0.07031402223554908,34,73236
35,0.07642239030207125,35,75390
36,0.08521387488849613,36,77544
37,0.08775926863909736,37,79698
38,0.0846282220071414,38,81852
39,0.07936310820902644,39,84006
40,0.07451443701160396,40,86160
41,0.07082664370977225,41,88314
42,0.06791632660755603,42,90468
43,0.06318171910848804,43,92622
44,0.057187427436252644,44,94776
45,0.05275887300783931,45,96930
46,0.04848642252313627,46,99084
47,0.04401142545707534,47,101238
48,0.03973588696045806,48,103392
49,0.03917946112854048,49,105546
50,0.039224447609731476,50,107700
51,0.03845534079385439,51,109854
52,0.03771581500935719,52,112008
53,0.037004195858237235,53,114162
54,0.03631893297197358,54,116316
55,0.03565858873611952,55,118470
56,0.03635914688245778,56,120624
57,0.03953964882009538,57,122778
58,0.042610478277124816,58,124932
59,0.04557721182035662,59,127086
60,0.04772245757260359,60,129240
61,0.04774828942048822,61,131394
62,0.0460233425310006,62,133548
63,0.046946496670131385,63,135702
64,0.0455280611154982,64,137856
65,0.042765397357069315,65,140010
66,0.03859479935515253,66,142164
67,0.03350924574457774,67,144318
68,0.028388148742139956,68,146472
69,0.027495172285371454,69,148626
70,0.027102384109866148,70,150780
71,0.026720660390008876,71,152934
72,0.02968848484049158,72,155088
73,0.033593099437487506,73,157242
74,0.037392183910240295,74,159396
75,0.04108995946371964,75,161550
76,0.044690425134212744,76,163704
77,0.047037334943090155,77,165858
78,0.04728264021937055,78,168012
79,0.045528528517367356,79,170166
80,0.04429449138187344,80,172320
81,0.04395525010294942,81,174474
82,0.042331169795326085,82,176628
83,0.039407183360313944,83,178782
84,0.03553845076242142,84,180936
85,0.03164036924420757,85,183090
86,0.027832940784556802,86,185244
87,0.02411303941593256,87,187398
88,0.02227988631963782,88,189552
89,0.022029550518293573,89,191706
90,0.02208172287035531,90,193860
91,0.022582590497924222,91,196014
92,0.023073490541460327,92,198168
93,0.02521003921934605,93,200322
94,0.028088639634946108,94,202476
95,0.030906637936533584,95,204630
