step,KuhnPoker/conv,KuhnPoker/iters,KuhnPoker/nodes_touched
0,0.45833333333333326,0,0
1,0.45833333333333326,1,116
2,0.27083333333333337,2,232
3,0.1944444444444444,3,348
4,0.14062500000000003,4,464
5,0.12138888888888891,5,580
6,0.0967261904761905,6,696
7,0.10796957671957674,7,812
8,0.09045463963098321,8,928
9,0.07756755332157572,9,1044
10,0.0686987938171576,10,1160
11,0.06046924690611871,11,1276
12,0.056175094336424425,12,1392
13,0.057410765836257344,13,1508
14,0.055491770881090224,14,1624
15,0.0537199097257052,15,1740
16,0.05051169055809107,16,1856
17,0.0500843270804055,17,1972
18,0.0492656492537962,18,2088
19,0.045244613333537326,19,2204
20,0.040670197752702114,20,2320
21,0.039914275345009936,21,2436
22,0.03783806706199738,22,2552
23,0.03459452214742581,23,2668
24,0.030887611432971224,24,2784
25,0.0294781152900066,25,2900
26,0.029921334314481574,26,3016
27,0.02943266647561768,27,3132
28,0.02793457019962242,28,3248
29,0.025385679228546065,29,3364
30,0.022976662780746865,30,3480
31,0.0241673487539025,31,3596
32,0.02404680216108418,32,3712
33,0.02278866365606963,33,3828
34,0.023563359486823976,34,3944
35,0.025290074569431525,35,4060
36,0.02584353208047141,36,4176
37,0.025046068367683555,37,4292
38,0.02287501837230524,38,4408
39,0.022325694870475782,39,4524
40,0.02173271812802427,40,4640
41,0.020517348345035907,41,4756
42,0.019549014823615624,42,4872
43,0.018439105177279397,43,4988
44,0.017228031170687413,44,5104
45,0.01741061269740163,45,5220
46,0.017309206989279263,46,5336
47,0.016855043821498578,47,5452
48,0.015990077698860072,48,5568
49,0.015514939944355682,49,5684
50,0.015176601954280416,50,5800
51,0.014479024570811044,51,5916
52,0.014917023908300603,52,6032
53,0.014949720904030822,53,6148
54,0.01436476255196309,54,6264
55,0.013398036254981371,55,6380
56,0.01456595046522599,56,6496
57,0.015421168687205444,57,6612
58,0.015716830674279814,58,6728
59,0.015342753820282912,59,6844
60,0.014370574218123322,60,6960
61,0.014003542854660128,61,7076
62,0.014369455290710875,62,7192
63,0.014703280145769687,63,7308
64,0.01435071650079725,64,7424
65,0.013444981895212815,65,7540
66,0.012161919016871192,66,7656
67,0.011223097109611058,67,7772
68,0.011485640097778693,68,7888
69,0.011860723789898997,69,8004
70,0.012015686785352087,70,8120
71,0.011778275229671759,71,8236
72,0.01125891198000828,72,8352
73,0.010558979331646762,73,8468
74,0.00976004842237263,74,8584
75,0.008957402309598156,75,8700
76,0.009339085767700012,76,8816
77,0.009844410767489209,77,8932
78,0.010084062167076385,78,9048
79,0.010031726091496024,79,9164
80,0.009901430616872292,80,9280
81,0.010102437916053447,81,9396
82,0.01008994106228997,82,9512
83,0.01018137266995317,83,9628
84,0.010370663100467498,84,9744
85,0.01033042123727243,85,9860
86,0.010055447102741921,86,9976
87,0.010497265110710169,87,10092
88,0.010711868452140755,88,10208
89,0.010675236171888702,89,10324
90,0.010384733742348329,90,10440
91,0.009833650289658491,91,10556
92,0.0091823730021946,92,10672
93,0.008741083156215745,93,10788
94,0.00823787973520096,94,10904
95,0.008368847509684835,95,11020
96,0.008295863048415147,96,11136
97,0.008637115311109056,97,11252
98,0.00878216475848867,98,11368
99,0.008631826681385874,99,11484
100,0.008225977315915622,100,11600
101,0.0076814332419256615,101,11716
102,0.007212850847532204,102,11832
103,0.0069432848837420735,103,11948
104,0.006936337540187604,104,12064
105,0.0068069165734154224,105,12180
106,0.006679314108898771,106,12296
107,0.006826721380885831,107,12412
108,0.007239952965423929,108,12528
109,0.007688926704601778,109,12644
110,0.007935871122467991,110,12760
111,0.00794586752359594,111,12876
112,0.007703693164179737,112,12992
113,0.0073648259922632076,113,13108
114,0.007100939714901999,114,13224
115,0.007469734394544958,115,13340
116,0.007777042495607456,116,13456
117,0.008009066491760197,117,13572
118,0.00815090344533076,118,13688
119,0.008187650965605198,119,13804
120,0.008078560696973797,120,13920
121,0.007751526958785976,121,14036
122,0.007258585790058281,122,14152
123,0.0066993002793478695,123,14268
124,0.0064436121349135955,124,14384
125,0.006471432223927959,125,14500
126,0.006465545902623243,126,14616
127,0.006465235063125796,127,14732
128,0.006519359677160136,128,14848
129,0.00647926354787412,129,14964
130,0.006250467108452118,130,15080
131,0.005898739851258328,131,15196
132,0.005615504614252059,132,15312
133,0.005375887947945773,133,15428
134,0.00550266183394485,134,15544
135,0.005632868760669679,135,15660
136,0.005673063144620183,136,15776
137,0.005597691774166719,137,15892
138,0.005672275871018179,138,16008
139,0.005900755528473273,139,16124
140,0.006029728254511868,140,16240
141,0.006062639578276768,141,16356
142,0.006005568370293618,142,16472
143,0.005982745609675433,143,16588
144,0.005906542802529086,144,16704
145,0.006098142750435659,145,16820
146,0.0062660157280424456,146,16936
147,0.006300954135122383,147,17052
148,0.006371381831909689,148,17168
149,0.006450904532739693,149,17284
150,0.006447882080280742,150,17400
151,0.006358233510555172,151,17516
152,0.006184387350216619,152,17632
153,0.00591081827502582,153,17748
154,0.0055646278981673625,154,17864
155,0.005457549521310334,155,17980
156,0.005528728623815898,156,18096
157,0.0055287899556648035,157,18212
158,0.0054614365140256416,158,18328
159,0.005335910294273272,159,18444
160,0.005163652041736744,160,18560
161,0.004974416505999085,161,18676
162,0.004784710982195961,162,18792
163,0.004611655024741063,163,18908
164,0.0044261463164986525,164,19024
165,0.004178573082503606,165,19140
166,0.004162964122084362,166,19256
