step,LeducPoker/conv,LeducPoker/iters,LeducPoker/nodes_touched
0,2.373611111111111,0,0
1,2.373611111111111,1,18914
2,2.061319444444444,2,37828
3,1.79880658691384,3,56742
4,1.6590264691929166,4,75656
5,1.4713245596865683,5,94570
6,1.3046625366898728,6,113484
7,1.1565805178914506,7,132398
8,1.0447752045677785,8,151312
9,0.9617541410503099,9,170226
10,0.8885789831687689,10,189140
11,0.82051887735123,11,208054
12,0.7594515315507495,12,226968
13,0.7072715810248775,13,245882
14,0.663613323549189,14,264796
15,0.6298892917347846,15,283710
16,0.5981195166848348,16,302624
17,0.5598746649451571,17,321538
18,0.5265117132306728,18,340452
19,0.4930234289091532,19,359366
20,0.45314565341607516,20,378280
21,0.43189007232636,21,397194
22,0.41778229823872065,22,416108
23,0.41277427629190333,23,435022
24,0.40567293645240765,24,453936
25,0.3974605121585195,25,472850
26,0.38268030799406616,26,491764
27,0.3659632346488735,27,510678
28,0.34809470656877306,28,529592
29,0.3296695884416735,29,548506
30,0.31091772472731516,30,567420
31,0.2974616802751786,31,586334
32,0.2925546674505395,32,605248
33,0.2877275444149008,33,624162
34,0.27776930416755335,34,643076
35,0.26394236209889177,35,661990
36,0.25333872753181275,36,680904
37,0.24508622008924483,37,699818
38,0.24084203110852298,38,718732
39,0.2363606685526595,39,737646
40,0.23202999042915048,40,756560
41,0.2275961986873791,41,775474
42,0.2238932213802371,42,794388
43,0.22099613508504826,43,813302
44,0.21970162593792356,44,832216
45,0.2156567671308594,45,851130
46,0.20965287901111063,46,870044
47,0.20371824823346377,47,888958
48,0.20017259536153967,48,907872
49,0.19540378743794928,49,926786
50,0.1890834659549563,50,945700
51,0.1816384526206792,51,964614
52,0.1763913521656218,52,983528
53,0.17250881558631673,53,1002442
54,0.16938506659982477,54,1021356
55,0.16603426886860997,55,1040270
56,0.1630477789904945,56,1059184
57,0.1597060161472917,57,1078098
58,0.15759309879382843,58,1097012
59,0.15626787150732707,59,1115926
60,0.15584876088961166,60,1134840
61,0.15598665979550672,61,1153754
62,0.15629681447724109,62,1172668
63,0.1574732499392546,63,1191582
64,0.15541203524566685,64,1210496
65,0.1531323961053646,65,1229410
66,0.14900400029548913,66,1248324
67,0.14660710618371586,67,1267238
68,0.14319091776705775,68,1286152
69,0.13938513307953512,69,1305066
70,0.1362350300571542,70,1323980
71,0.1330410351397501,71,1342894
72,0.1295431605100556,72,1361808
73,0.12622057695394853,73,1380722
74,0.12301473172783253,74,1399636
75,0.12136796657483889,75,1418550
76,0.12064664747775064,76,1437464
77,0.12116813319370874,77,1456378
78,0.1216841752456532,78,1475292
79,0.12212671826237698,79,1494206
80,0.12133612571940809,80,1513120
81,0.12001656534965874,81,1532034
82,0.11842874703523412,82,1550948
83,0.11707011843644496,83,1569862
84,0.11503779034252742,84,1588776
85,0.11426907782677848,85,1607690
86,0.11505022847040264,86,1626604
87,0.11364212271035026,87,1645518
88,0.11004405297146636,88,1664432
89,0.1064605061961944,89,1683346
90,0.1040879783239484,90,1702260
91,0.10329141691936038,91,1721174
92,0.10269028375385884,92,1740088
93,0.10160590349501884,93,1759002
94,0.10003630278962834,94,1777916
95,0.09868097131510756,95,1796830
96,0.0983594176568624,96,1815744
97,0.09836927664637324,97,1834658
98,0.09738345190700692,98,1853572
99,0.09681100615585056,99,1872486
100,0.09571635300459791,100,1891400
101,0.09394927266361214,101,1910314
102,0.09156075160961664,102,1929228
103,0.08990407530194296,103,1948142
104,0.0903006445806079,104,1967056
105,0.0903345819056856,105,1985970
106,0.08991358403718953,106,2004884
107,0.0892484192213314,107,2023798
108,0.08875239368167917,108,2042712
109,0.08789908741859918,109,2061626
110,0.08640173891472833,110,2080540
111,0.08461015516977335,111,2099454
112,0.08270399623696514,112,2118368
113,0.08127891105058321,113,2137282
114,0.08040850195837518,114,2156196
115,0.08005467502701677,115,2175110
116,0.07980106606099191,116,2194024
117,0.07936173995528065,117,2212938
118,0.07914765320563354,118,2231852
119,0.07857060967196272,119,2250766
120,0.07810806010182297,120,2269680
121,0.07803028836578245,121,2288594
122,0.07799243852259323,122,2307508
123,0.0779487787664696,123,2326422
124,0.07749278465268539,124,2345336
125,0.07639850691029071,125,2364250
126,0.07574362298509209,126,2383164
127,0.07660984452792471,127,2402078
128,0.07688095652375593,128,2420992
129,0.07651084129242386,129,2439906
130,0.07535563840953603,130,2458820
131,0.07397968525805912,131,2477734
132,0.07257970514204252,132,2496648
133,0.07117073192368706,133,2515562
134,0.07021700731259718,134,2534476
135,0.06970000409528304,135,2553390
136,0.06972475612867124,136,2572304
137,0.06957922664184883,137,2591218
138,0.06937922006525972,138,2610132
139,0.06929358866221358,139,2629046
140,0.06924572260253795,140,2647960
141,0.0691758571221109,141,2666874
142,0.06891969773479457,142,2685788
143,0.06816807984604412,143,2704702
144,0.06707238927630495,144,2723616
145,0.06634482872577728,145,2742530
146,0.0655390058042942,146,2761444
147,0.0647298606833408,147,2780358
148,0.06355951048764844,148,2799272
149,0.06292621950952496,149,2818186
150,0.06265887163594391,150,2837100
151,0.06253456225804374,151,2856014
152,0.06241958345426002,152,2874928
153,0.06269043762407671,153,2893842
154,0.06299368229470009,154,2912756
