step,LiarsDice3/conv,LiarsDice3/iters,LiarsDice3/nodes_touched
0,0.5555555555555555,0,0
1,0.5555555555555555,1,2294
2,0.399912413873476,2,4588
3,0.27122406220136747,3,6882
4,0.20480741356010673,4,9176
5,0.171149697781481,5,11470
6,0.1470170184148972,6,13764
7,0.12113156510551605,7,16058
8,0.10598689248045867,8,18352
9,0.09421057109374098,9,20646
10,0.08478951398436695,10,22940
11,0.07708137634942444,11,25234
12,0.0705202158354526,12,27528
13,0.06509558384811011,13,29822
14,0.06044589928753079,14,32116
15,0.056416172668362116,15,34410
16,0.05289016187658946,16,36704
17,0.049778975883848886,17,38998
18,0.047013477223635136,18,41292
19,0.044539083685549055,19,43586
20,0.042312129501271556,20,45880
21,0.04029726619168722,21,48174
22,0.03846557227388324,22,50468
23,0.03679315608806226,23,52762
24,0.0352601079177263,24,55056
25,0.033849703601017314,25,57350
26,0.03254779192405509,26,59644
27,0.03134231814909007,27,61938
28,0.0302229496437654,28,64232
29,0.029180778966394233,29,66526
30,0.028208086334181065,30,68820
31,0.027298148065336494,31,71114
32,0.02644508093829477,32,73408
33,0.02564371484925551,33,75702
34,0.024889487941924443,34,77996
35,0.024178359715012324,35,80290
36,0.023506738611817554,36,82584
37,0.02287142135203865,37,84878
38,0.022269541842774562,38,87172
39,0.021698527949369995,39,89466
40,0.021156064750635764,40,91760
41,0.020640063171351974,41,94054
42,0.020148633095843582,42,96348
43,0.019680060233149603,43,98642
44,0.019232786136941626,44,100936
45,0.01880539088945401,45,103230
46,0.018396578044031164,46,105524
47,0.018005161489902777,47,107818
48,0.01763005395886315,48,110112
49,0.017270256939294563,49,112406
50,0.016924851800508622,50,114700
51,0.016592991961282944,51,116994
52,0.01627389596202751,52,119288
53,0.015966841321234562,53,121582
54,0.01567115907454506,54,123876
55,0.01538622890955331,55,126170
56,0.015111474821882707,56,128464
57,0.014846361228516347,57,130758
58,0.014590389483197123,58,133052
59,0.014343094746193795,59,135346
60,0.014104043167090498,60,137640
61,0.013872829344679212,61,139934
62,0.013649074032668282,62,142228
63,0.01343242206389575,63,144522
64,0.013222540469147358,64,146816
65,0.013019116769622016,65,149110
66,0.012821857424627721,66,151404
67,0.012630486418290038,67,153698
68,0.012444743970962215,68,155992
69,0.012264385362687438,69,158286
70,0.012089179857506141,70,160580
71,0.011918909718668075,71,162874
72,0.011753369305908735,72,165168
73,0.011592364246923718,73,167462
74,0.011435710676019374,74,169756
75,0.011283234533672429,75,172050
76,0.01113477092138724,76,174344
77,0.010990163506823768,77,176638
78,0.01084926397468499,78,178932
79,0.010711931519309228,79,181226
80,0.010578032375317854,80,183520
81,0.010447439383030055,81,185814
82,0.010320031585676015,82,188108
83,0.010195693855728119,83,190402
84,0.010074316547921812,84,192696
85,0.009955795176769748,85,194990
86,0.009840030116574784,86,197284
87,0.009726926322131395,87,199578
88,0.009616393068470883,88,201872
89,0.009508343708150915,89,204166
90,0.009402695444727036,90,206460
91,0.009299369121158585,91,208754
92,0.009198289022015561,92,211048
93,0.009099382688445457,93,213342
94,0.009002580744951395,94,215636
