step,SmallMatrix/conv,SmallMatrix/iters,SmallMatrix/nodes_touched
0,3000.2666666666664,0,0
1,3000.2666666666664,1,42
2,1500.3000046296297,2,84
3,1000.4221851851853,3,126
4,750.4832430555533,4,168
5,600.5198518518409,5,210
6,500.5442361110811,6,252
7,429.1330634919998,7,294
8,375.5746678239578,8,336
9,333.9181234565984,9,378
10,300.59287499970566,10,420
11,273.3267508413225,11,462
12,250.60496990680946,12,504
13,231.37883760603043,13,546
14,214.89928637460093,14,588
15,200.61699999863816,15,630
16,188.11999131772887,16,672
17,177.09321132685017,17,714
18,167.29162191098334,18,756
19,158.52177192669166,19,798
20,150.62890045922492,20,840
21,143.48772486330833,21,882
22,136.9957411564436,22,924
23,131.06827213569653,23,966
24,125.63475346528807,24,1008
25,120.63591110316304,25,1050
26,116.02159009065876,26,1092
27,111.7490658333582,27,1134
28,107.78171725033198,28,1176
29,104.08797444422649,29,1218
30,100.64047683733476,30,1260
31,97.41539424907279,31,1302
32,94.391875271429,32,1344
33,91.55159593978667,33,1386
34,88.87838805007173,34,1428
35,86.35793119296092,35,1470
36,83.97749611572208,36,1512
37,81.72572970105297,37,1554
38,79.59247389663017,38,1596
39,77.56861250165015,39,1638
40,75.64594093538938,40,1680
41,73.81705506402365,41,1722
42,72.07525590933079,42,1764
43,70.41446765385301,43,1806
44,68.82916682717375,44,1848
45,67.31432093402428,45,1890
46,65.86533508741967,46,1932
47,64.47800545458615,47,1974
48,63.14847852214744,48,2016
49,61.87321534924738,49,2058
50,60.648960110298,50,2100
51,59.4727123385806,51,2142
52,58.34170237250844,52,2184
53,57.25336958155756,53,2226
54,56.20534301153878,54,2268
55,55.195424141294595,55,2310
56,54.221571486892756,56,2352
57,53.28188682643098,57,2394
58,52.374602849862065,58,2436
59,51.49807206476884,59,2478
60,50.65075681156168,60,2520
61,49.83122026078769,61,2562
62,49.03811828166807,62,2604
63,48.27019208506053,63,2646
64,47.526261556143915,64,2688
65,46.80521920254732,65,2730
66,46.106024652649324,66,2772
67,45.42769964656689,67,2814
68,44.769323469115726,68,2856
69,44.13002877990456,69,2898
70,43.50899780084996,70,2940
71,42.905458825873005,71,2982
72,42.3186830214544,72,3024
73,41.74798149015792,73,3066
74,41.19270257224638,74,3108
75,40.6522293631683,75,3150
76,40.12597742703265,76,3192
77,39.613392688254166,77,3234
78,39.113949485379926,78,3276
79,38.62714877272662,79,3318
80,38.15251645689485,80,3360
81,37.68960185650476,81,3402
82,37.237976274633816,82,3444
83,36.79723167445195,83,3486
84,36.36697944945414,84,3528
85,35.946849280500096,85,3570
86,35.5364880725954,86,3612
87,35.13555896499805,87,3654
88,34.743740408817764,88,3696
89,34.360725306799594,89,3738
90,33.986220210455286,90,3780
91,33.61994457013106,91,3822
92,33.26163003398397,92,3864
93,32.91101979218565,93,3906
94,32.56786796298535,94,3948
95,32.23193901754799,95,3990
96,31.903007240739726,96,4032
