step,Subgame4/conv,Subgame4/iters
0,38.43119384765625,0
1,38.43119384765625,1
2,33.3556298828125,2
3,26.277133178710937,3
4,22.37552490234375,4
5,19.664593505859376,5
6,17.460294799804686,6
7,15.787787780761718,7
8,14.260783081054688,8
9,12.939976196289063,9
10,11.787453002929688,10
11,10.76665283203125,11
12,9.84478302001953,12
13,9.03431427001953,13
14,8.324541015625,14
15,7.752835693359375,15
16,7.292432250976563,16
17,6.885597229003906,17
18,6.5200411987304685,18
19,6.196229858398437,19
20,5.907737731933594,20
21,5.651301879882812,21
22,5.411052703857422,22
23,5.178293762207031,23
24,4.957400207519531,24
25,4.751391143798828,25
26,4.561196899414062,26
27,4.387169647216797,27
28,4.2265841674804685,28
29,4.08060791015625,29
30,3.9471389770507814,30
31,3.8257220458984373,31
32,3.7162680053710937,32
33,3.6158572387695314,33
34,3.5157830810546873,34
35,3.414012756347656,35
36,3.2980026245117187,36
37,3.16643798828125,37
38,3.0305809020996093,38
39,2.9322401428222657,39
40,2.8997958374023436,40
41,2.8916522216796876,41
42,2.8673216247558595,42
43,2.8237257385253907,43
44,2.763008728027344,44
45,2.6940348815917967,45
46,2.6333016967773437,46
47,2.5773275756835936,47
48,2.5245711517333986,48
49,2.473898391723633,49
50,2.424001998901367,50
51,2.3743976593017577,51
52,2.3275670623779297,52
53,2.2829480743408204,53
54,2.2403298950195314,54
55,2.1993276977539065,55
56,2.1599609375,56
57,2.12048828125,57
58,2.0824483489990233,58
59,2.048704833984375,59
60,2.0175544738769533,60
61,1.9832816314697266,61
62,1.9490293884277343,62
63,1.916599884033203,63
64,1.8855284118652345,64
65,1.8548123168945312,65
66,1.8244245910644532,66
67,1.7959122467041015,67
68,1.769358139038086,68
69,1.7452881622314453,69
70,1.7225519561767577,70
71,1.7018443298339845,71
72,1.681880340576172,72
73,1.66215087890625,73
74,1.6428571319580079,74
75,1.6232369232177735,75
76,1.6035370635986328,76
77,1.5831773376464844,77
78,1.56219482421875,78
79,1.541064224243164,79
80,1.520919952392578,80
81,1.5009761047363281,81
82,1.4814567565917969,82
83,1.4612113189697267,83
84,1.438605499267578,84
85,1.4146455001831055,85
86,1.3886142730712892,86
87,1.3618177795410156,87
88,1.3399774932861328,88
89,1.3223332595825195,89
90,1.3095525741577148,90
91,1.3009317779541016,91
92,1.292498779296875,92
93,1.2830050659179688,93
94,1.2719745635986328,94
95,1.2615489959716797,95
96,1.2511815643310547,96
97,1.2399383544921876,97
98,1.2272105407714844,98
99,1.216146812438965,99
100,1.2064788436889649,100
101,1.1973782348632813,101
102,1.1889768218994141,102
103,1.1798999786376954,103
104,1.171535110473633,104
105,1.1616104125976563,105
106,1.1500932312011718,106
107,1.1371819305419921,107
108,1.1245024871826172,108
109,1.1137575149536132,109
110,1.1043082427978517,110
111,1.094761962890625,111
112,1.0855907058715821,112
113,1.0777217483520507,113
114,1.070300636291504,114
115,1.0632996368408203,115
116,1.0558642959594726,116
117,1.047784309387207,117
118,1.0383985137939453,118
119,1.0272385787963867,119
120,1.0153265762329102,120
121,1.0032575225830078,121
122,0.9911288070678711,122
123,0.9800890731811523,123
124,0.9701938247680664,124
125,0.9616794967651368,125
126,0.9544314193725586,126
127,0.9477421188354492,127
128,0.9410149002075195,128
129,0.9336087036132813,129
130,0.9253396987915039,130
131,0.9159983825683594,131
132,0.9057503128051758,132
133,0.8951411437988281,133
134,0.8840087890625,134
135,0.872464599609375,135
136,0.8604687118530273,136
137,0.8482530593872071,137
138,0.835977897644043,138
139,0.8236848831176757,139
140,0.8110123443603515,140
141,0.7977985000610351,141
142,0.7850432586669922,142
143,0.7725827407836914,143
144,0.7610050964355469,144
145,0.7505230712890625,145
146,0.7416080474853516,146
147,0.7345929336547852,147
148,0.7290118026733399,148
149,0.7254079818725586,149
150,0.7229400253295899,150
151,0.7209768676757813,151
152,0.7193177413940429,152
153,0.7200074768066407,153
