step,BattleShip2/conv,BattleShip2/iters,BattleShip2/nodes_touched
0,0.5,0,0
1,0.5,1,20138
2,0.6944444444444446,2,40276
3,0.8797310806569236,3,60414
4,0.8579466667971232,4,80552
5,0.6635230038932237,5,100690
6,0.5747670568252682,6,120828
7,0.4642741820992581,7,140966
8,0.376082262877949,8,161104
9,0.3450263058030815,9,181242
10,0.3436006198051241,10,201380
11,0.31255070158511905,11,221518
12,0.2929292374478225,12,241656
13,0.2592321506952416,13,261794
14,0.23945271235094773,14,281932
15,0.2089157979312167,15,302070
16,0.18126609164201973,16,322208
17,0.1854591751965643,17,342346
18,0.17643475795738006,18,362484
19,0.14748886347746554,19,382622
20,0.13481800961146168,20,402760
21,0.1394410251840138,21,422898
22,0.13534228998149372,22,443036
23,0.13200614049957898,23,463174
24,0.1315706000336052,24,483312
25,0.12812115366305793,25,503450
26,0.1266391476894801,26,523588
27,0.12811611121660277,27,543726
28,0.12057416233805124,28,563864
29,0.11137959507788586,29,584002
30,0.09833619920162923,30,604140
31,0.08908299673797487,31,624278
32,0.08401461306914793,32,644416
33,0.07479829126274035,33,664554
34,0.07836863702174829,34,684692
35,0.07984436621746638,35,704830
36,0.07558268238090915,36,724968
37,0.07105595042513846,37,745106
38,0.0693986238810293,38,765244
39,0.06194685805303568,39,785382
40,0.05568398282516085,40,805520
41,0.06006277984598185,41,825658
42,0.06468030905850025,42,845796
43,0.06177419433493553,43,865934
44,0.05254030477194882,44,886072
45,0.045921725263835145,45,906210
46,0.049064728975550476,46,926348
47,0.04718539968520674,47,946486
48,0.04581649897495438,48,966624
49,0.04602309067694704,49,986762
50,0.046552176226800634,50,1006900
51,0.046917509663567725,51,1027038
52,0.05044570856321268,52,1047176
53,0.052183988166364104,53,1067314
54,0.050169298944926666,54,1087452
55,0.04645496021263584,55,1107590
56,0.04317751052261937,56,1127728
57,0.038070986043222954,57,1147866
58,0.040949616584258886,58,1168004
59,0.045045266322578714,59,1188142
60,0.04637175278852096,60,1208280
61,0.046429889866324736,61,1228418
62,0.04417753957231452,62,1248556
63,0.03775919514950571,63,1268694
64,0.0324356069563842,64,1288832
65,0.031017010934070277,65,1308970
66,0.03118830582811738,66,1329108
67,0.03069100591750018,67,1349246
68,0.03397229923215689,68,1369384
69,0.03504011345491331,69,1389522
70,0.03512713176710813,70,1409660
71,0.032218713632602425,71,1429798
72,0.031789976990583,72,1449936
73,0.03309259772636802,73,1470074
74,0.0321826860947691,74,1490212
75,0.03037330142605127,75,1510350
76,0.029397569682403257,76,1530488
77,0.027417284737888792,77,1550626
78,0.02485952325926033,78,1570764
79,0.02366726204315589,79,1590902
80,0.024324682016806765,80,1611040
81,0.02528281852355546,81,1631178
82,0.02559014568097373,82,1651316
83,0.02601147592782438,83,1671454
84,0.026291902741456152,84,1691592
85,0.02622891487134177,85,1711730
86,0.025524578414455157,86,1731868
87,0.02351509511626837,87,1752006
88,0.023255355206125483,88,1772144
89,0.02426520064358706,89,1792282
90,0.025031773929103884,90,1812420
91,0.024299011407706128,91,1832558
92,0.02396700917328276,92,1852696
93,0.024017713960894138,93,1872834
94,0.023911673335609396,94,1892972
95,0.025364760951833654,95,1913110
96,0.027021505062099938,96,1933248
97,0.027154040706746485,97,1953386
98,0.026176291654076922,98,1973524
99,0.023891870365069012,99,1993662
100,0.02070481280492542,100,2013800
101,0.02163850634450365,101,2033938
102,0.022498825273508438,102,2054076
103,0.02235718646948942,103,2074214
104,0.021593911417213008,104,2094352
105,0.021533524051831787,105,2114490
106,0.022244877753273495,106,2134628
107,0.022965420812236348,107,2154766
108,0.022600655660749702,108,2174904
109,0.02171139457324406,109,2195042
110,0.02080198073108347,110,2215180
111,0.01990433598960073,111,2235318
112,0.019984470740437854,112,2255456
113,0.019712996791112658,113,2275594
114,0.018967972490235185,114,2295732
115,0.019948016757700027,115,2315870
116,0.02172582783961069,116,2336008
117,0.022264751525221116,117,2356146
118,0.02149171977281744,118,2376284
119,0.0196681067159723,119,2396422
120,0.01897819002256873,120,2416560
121,0.018380459528764548,121,2436698
122,0.016883332588329525,122,2456836
123,0.016797291309024964,123,2476974
