step,GoofSpiel4/conv,GoofSpiel4/iters,GoofSpiel4/nodes_touched
0,0.7083333333333333,0,0
1,0.7083333333333333,1,2154
2,0.4068813131313131,2,4308
3,0.4337792361240923,3,6462
4,0.301369188207511,4,8616
5,0.2502435597045496,5,10770
6,0.208172916109919,6,12924
7,0.1586943769777156,7,15078
8,0.11748161768737206,8,17232
9,0.14474587314869156,9,19386
10,0.14299687833248537,10,21540
11,0.11392712727074367,11,23694
12,0.09773648413594552,12,25848
13,0.08073785828620847,13,28002
14,0.06820935694035693,14,30156
15,0.06383063602497913,15,32310
16,0.05194751117491948,16,34464
17,0.04038602294552318,17,36618
18,0.03587096381385352,18,38772
19,0.04112933320393725,19,40926
20,0.041924452703652526,20,43080
21,0.042729550519429726,21,45234
22,0.040091967972571016,22,47388
23,0.034635167059895736,23,49542
24,0.037363390221747894,24,51696
25,0.044895491562219614,25,53850
26,0.04669013688517264,26,56004
27,0.041646430861949524,27,58158
28,0.03129742844302413,28,60312
29,0.02145546540552576,29,62466
30,0.018388572032632902,30,64620
31,0.019276569704164914,31,66774
32,0.024329928549129846,32,68928
33,0.0274374553771918,33,71082
34,0.031193436432249217,34,73236
35,0.03153529021365131,35,75390
36,0.02901706204974028,36,77544
37,0.024148421133364267,37,79698
38,0.01763595422611924,38,81852
39,0.011228828042219013,39,84006
40,0.009411739817758462,40,86160
41,0.00910654030946986,41,88314
42,0.011316178571386958,42,90468
43,0.014976941672774823,43,92622
44,0.01860900101433735,44,94776
45,0.021294446353212496,45,96930
46,0.022931437466845242,46,99084
47,0.02348605176400711,47,101238
48,0.02295282293292842,48,103392
49,0.0213234948773564,49,105546
50,0.018636857002219266,50,107700
51,0.017162498808686234,51,109854
52,0.014843324738006161,52,112008
53,0.012126463597086433,53,114162
54,0.009391628344153389,54,116316
55,0.008017931334028006,55,118470
56,0.008583161910044447,56,120624
57,0.010034826644425354,57,122778
58,0.012354698381228477,58,124932
59,0.013954960942515766,59,127086
60,0.014783987948026357,60,129240
61,0.014841443447156015,61,131394
62,0.014158033631752862,62,133548
63,0.012782780164898165,63,135702
64,0.011899199549515887,64,137856
65,0.011372247293692794,65,140010
66,0.011813178139247597,66,142164
67,0.011993467097282183,67,144318
68,0.01197702877216867,68,146472
69,0.011716583989820933,69,148626
70,0.011082426419216695,70,150780
71,0.009970731922642312,71,152934
72,0.0085458537036768,72,155088
73,0.007685493141873724,73,157242
74,0.007058929043094006,74,159396
75,0.006811740159318748,75,161550
76,0.006523218409666456,76,163704
77,0.006238882446087144,77,165858
78,0.006608082759701963,78,168012
79,0.007272995170411941,79,170166
80,0.008917959695207835,80,172320
81,0.01034767809624397,81,174474
82,0.011453013202228652,82,176628
83,0.012165843184482097,83,178782
84,0.012430853229175037,84,180936
85,0.012212824219630287,85,183090
86,0.011499315510437768,86,185244
87,0.010308148265530458,87,187398
88,0.008705332327051497,88,189552
89,0.0068165562761758145,89,191706
90,0.004792396089132106,90,193860
91,0.003706362781190477,91,196014
92,0.0027882206780651016,92,198168
93,0.0033964652646481545,93,200322
94,0.004246540787502278,94,202476
95,0.005383801058538019,95,204630
