step,KuhnPoker/conv,KuhnPoker/iters,KuhnPoker/nodes_touched
0,0.45833333333333326,0,0
1,0.45833333333333326,1,116
2,0.26388888888888884,2,232
3,0.14131701631701638,3,348
4,0.10014430014430015,4,464
5,0.07334452949594789,5,580
6,0.0504587006585685,6,696
7,0.0451092005701374,7,812
8,0.027794111052289933,8,928
9,0.03034671285988233,9,1044
10,0.032687090668344715,10,1160
11,0.028900152549858893,11,1276
12,0.019660333904406857,12,1392
13,0.019334353618197075,13,1508
14,0.017230440608545755,14,1624
15,0.012328293961454323,15,1740
16,0.00937162035674885,16,1856
17,0.01054166321105049,17,1972
18,0.012278635793780357,18,2088
19,0.012493840204806927,19,2204
20,0.010108977366395516,20,2320
21,0.008622417523705544,21,2436
22,0.00830189210404525,22,2552
23,0.0066624775616360155,23,2668
24,0.005884725558754023,24,2784
25,0.0034105495197462865,25,2900
26,0.004248351747594276,26,3016
27,0.005921419521695365,27,3132
28,0.00658749828542779,28,3248
29,0.005352775994143105,29,3364
30,0.005357787593172736,30,3480
31,0.005079519234855584,31,3596
32,0.0042782058313391436,32,3712
33,0.0040356589910997,33,3828
34,0.0033827505776846123,34,3944
35,0.002658527443945957,35,4060
36,0.0033790020863867787,36,4176
37,0.003846671585046646,37,4292
38,0.004187497343360991,38,4408
39,0.0035828390901542218,39,4524
40,0.0038451479471880157,40,4640
41,0.003826818645870367,41,4756
42,0.003146548112583164,42,4872
43,0.002941472411998519,43,4988
44,0.0029767234639202778,44,5104
45,0.0019457960523196205,45,5220
46,0.0022011630203354338,46,5336
47,0.0027877928543530717,47,5452
48,0.003389671362280161,48,5568
49,0.0029311733853489563,49,5684
50,0.0027972506046415047,50,5800
51,0.003000893013410333,51,5916
52,0.0025922486902889286,52,6032
53,0.002737237164336326,53,6148
54,0.002644851628048145,54,6264
55,0.0021186533758768,55,6380
56,0.001272641606420405,56,6496
57,0.0015126977696180155,57,6612
58,0.0023713534431924754,58,6728
59,0.0025493604560683225,59,6844
60,0.002392856793020537,60,6960
61,0.002152462445117298,61,7076
62,0.0022612892793491546,62,7192
63,0.0021166361254143784,63,7308
64,0.001980344682616847,64,7424
65,0.0020233404765499785,65,7540
66,0.00180672549450564,66,7656
67,0.0010134808905307435,67,7772
68,0.0009698987757266464,68,7888
69,0.0016155312953686496,69,8004
70,0.0019822154835077155,70,8120
71,0.0019646528937103114,71,8236
72,0.001577369389837685,72,8352
73,0.0018291036662949622,73,8468
74,0.0017691943082003003,74,8584
75,0.0014182485997044636,75,8700
76,0.0015734485260607,76,8816
77,0.0016987933206200623,77,8932
78,0.0012680542934208339,78,9048
79,0.0008523585659785948,79,9164
80,0.001116136460319328,80,9280
81,0.0014853574483033871,81,9396
82,0.0017092942180043647,82,9512
83,0.001460618958770088,83,9628
84,0.0014561432645849859,84,9744
85,0.0016528295558332073,85,9860
86,0.0015625811252253374,86,9976
87,0.0012212132135019094,87,10092
88,0.001386650239222964,88,10208
89,0.0014768436625536563,89,10324
90,0.0011112071533416756,90,10440
91,0.0006397580985474938,91,10556
92,0.0009596566760227132,92,10672
93,0.0013898420079446194,93,10788
94,0.0015617856710485878,94,10904
95,0.0013126287155643124,95,11020
96,0.001280007069422412,96,11136
97,0.0014413590628293838,97,11252
98,0.001363857522567763,98,11368
99,0.0012640540650084298,99,11484
100,0.0011944041011116013,100,11600
101,0.0012701201880488122,101,11716
102,0.0010289596701183734,102,11832
103,0.0006267156310733879,103,11948
104,0.0006017139321102261,104,12064
105,0.0010187553548409445,105,12180
106,0.001230935100922037,106,12296
107,0.001262624316067551,107,12412
108,0.0010502893275283198,108,12528
109,0.0011399001756547955,109,12644
110,0.0011923045669427201,110,12760
111,0.0010703393323983623,111,12876
112,0.0008619496259087145,112,12992
113,0.0010321502161589335,113,13108
114,0.0010689269228266185,114,13224
115,0.0008026044515686281,115,13340
116,0.000484735602671843,116,13456
117,0.0006120636645724209,117,13572
118,0.0008621102653453006,118,13688
119,0.0010572953124036721,119,13804
120,0.001006374707345381,120,13920
121,0.0008501111271183581,121,14036
122,0.001045626528658028,122,14152
123,0.0011127522031056103,123,14268
124,0.0010159170262043216,124,14384
125,0.0007986082845918008,125,14500
126,0.0009379724533079836,126,14616
127,0.0009789308369702876,127,14732
128,0.0007617847345533224,128,14848
129,0.00041228535319870474,129,14964
130,0.0005874520544177086,130,15080
131,0.0008376832869379236,131,15196
132,0.0010399788812718858,132,15312
133,0.0009956835479683346,133,15428
134,0.0007754342646651424,134,15544
135,0.0009615505751098818,135,15660
136,0.0010223056969625999,136,15776
137,0.0009358977256836432,137,15892
138,0.0008646328868874842,138,16008
139,0.0008176403038069602,139,16124
140,0.0008681769216838664,140,16240
141,0.0007305890076780008,141,16356
142,0.00045455462627433385,142,16472
143,0.0003047339747744293,143,16588
144,0.000608906430872802,144,16704
145,0.0008082646409655059,145,16820
146,0.0008821147825234243,146,16936
147,0.0008120317535592891,147,17052
148,0.00073929619704316,148,17168
149,0.0008505061781975964,149,17284
150,0.0008630463165291147,150,17400
151,0.0007703043481502025,151,17516
152,0.0006027275341284888,152,17632
153,0.000717568704149546,153,17748
154,0.0007602147235915846,154,17864
155,0.000605827994205721,155,17980
156,0.0003348913782604268,156,18096
157,0.00040947546168906834,157,18212
158,0.0005617129573855795,158,18328
159,0.0007402070865203669,159,18444
160,0.0007908708378523699,160,18560
