step,LeducPoker/conv,LeducPoker/iters,LeducPoker/nodes_touched
0,2.373611111111111,0,0
1,2.373611111111111,1,18914
2,2.0579166666666664,2,37828
3,1.7935440823803706,3,56742
4,1.6096550821219533,4,75656
5,1.3712323704279952,5,94570
6,1.195113139123119,6,113484
7,1.011154072526026,7,132398
8,0.859845118843912,8,151312
9,0.720490024204999,9,170226
10,0.6104389015904067,10,189140
11,0.534908404210856,11,208054
12,0.47440630583206955,12,226968
13,0.4099249640649161,13,245882
14,0.3576147617744285,14,264796
15,0.3116290984523362,15,283710
16,0.2761939862655555,16,302624
17,0.24368604756663392,17,321538
18,0.21581487814006298,18,340452
19,0.19391340653548364,19,359366
20,0.1736553734419708,20,378280
21,0.15948530956698687,21,397194
22,0.1502088268384198,22,416108
23,0.1404175008020167,23,435022
24,0.13079066996085958,24,453936
25,0.11935086897251102,25,472850
26,0.11102443178692159,26,491764
27,0.10312263872523497,27,510678
28,0.09603788534783936,28,529592
29,0.08881667006691525,29,548506
30,0.08176925408966594,30,567420
31,0.07579040198661424,31,586334
32,0.07159430939788686,32,605248
33,0.06741890423388747,33,624162
34,0.061927882076948076,34,643076
35,0.0584230891652779,35,661990
36,0.056261730365887996,36,680904
37,0.05452943598011195,37,699818
38,0.05166046933935778,38,718732
39,0.04964130515275794,39,737646
40,0.04764517713057151,40,756560
41,0.04633657750229181,41,775474
42,0.04508078678759106,42,794388
43,0.04339250549346939,43,813302
44,0.0417064096402744,44,832216
45,0.040287961542530046,45,851130
46,0.038723527724934675,46,870044
47,0.03735683619581784,47,888958
48,0.0364334203799221,48,907872
49,0.03529224681568208,49,926786
50,0.03412145649454963,50,945700
51,0.03289037501970404,51,964614
52,0.03165759566255832,52,983528
53,0.03055547008128512,53,1002442
54,0.029619706360921177,54,1021356
55,0.028354109043513848,55,1040270
56,0.027234568577053107,56,1059184
57,0.026963196904215475,57,1078098
58,0.026753197284073854,58,1097012
59,0.02613317228558862,59,1115926
60,0.025152158685298874,60,1134840
61,0.02464353243971284,61,1153754
62,0.024169463490224224,62,1172668
63,0.02347185756060221,63,1191582
64,0.022779007434123283,64,1210496
65,0.022853601361085732,65,1229410
66,0.02264380669107524,66,1248324
67,0.021909263700053846,67,1267238
68,0.021931902830121752,68,1286152
69,0.022001250587195237,69,1305066
70,0.021840169074591673,70,1323980
71,0.021646480335158036,71,1342894
72,0.021528396457982962,72,1361808
73,0.02146993314555075,73,1380722
74,0.0214979798186668,74,1399636
75,0.021345359588917756,75,1418550
76,0.020912464540016044,76,1437464
77,0.020438701482602323,77,1456378
78,0.020162806833928452,78,1475292
79,0.01921594532306309,79,1494206
80,0.019134784913355518,80,1513120
81,0.018805166449519593,81,1532034
82,0.018286773482801083,82,1550948
83,0.01802891770771689,83,1569862
84,0.017539729786283424,84,1588776
85,0.01716667733483057,85,1607690
86,0.01704933316093546,86,1626604
87,0.01672000708551063,87,1645518
88,0.0165112994008344,88,1664432
89,0.01614589856816806,89,1683346
90,0.01584853861394006,90,1702260
91,0.01582401055001756,91,1721174
92,0.015639187970264985,92,1740088
93,0.015179810344824005,93,1759002
94,0.014713570409166848,94,1777916
95,0.014447082251621335,95,1796830
96,0.014320753567487209,96,1815744
97,0.014210433676805995,97,1834658
98,0.014100548828324372,98,1853572
99,0.013891860827733526,99,1872486
100,0.0134159949715811,100,1891400
101,0.01328782948030291,101,1910314
102,0.012973468085422601,102,1929228
103,0.012769706321617946,103,1948142
104,0.012951212583044845,104,1967056
105,0.012723171461477015,105,1985970
106,0.012617568329092062,106,2004884
107,0.012578048048615453,107,2023798
108,0.012406618300770014,108,2042712
109,0.012431973156806789,109,2061626
110,0.012268096833841238,110,2080540
111,0.012197288922047259,111,2099454
112,0.01225529465302054,112,2118368
113,0.012184198075317856,113,2137282
114,0.011937858477245822,114,2156196
115,0.011740186550911413,115,2175110
116,0.011547307656691583,116,2194024
117,0.011347386303536128,117,2212938
118,0.011174395304126547,118,2231852
119,0.011055728773481585,119,2250766
120,0.01095884572092111,120,2269680
121,0.01077692502737082,121,2288594
122,0.01052221496290777,122,2307508
123,0.010421424125930612,123,2326422
124,0.010371303633396847,124,2345336
125,0.010314714966106697,125,2364250
126,0.010223359269031396,126,2383164
127,0.01010010539254877,127,2402078
128,0.010034767180528328,128,2420992
129,0.009856494537886784,129,2439906
130,0.009743528995709946,130,2458820
131,0.009704353911575828,131,2477734
132,0.009575052206827916,132,2496648
133,0.009478484657019351,133,2515562
134,0.009366195295642255,134,2534476
135,0.009199871120093461,135,2553390
136,0.008956360557187806,136,2572304
137,0.008813526005399142,137,2591218
138,0.0087316961472904,138,2610132
139,0.008599988596055264,139,2629046
140,0.008524798767131206,140,2647960
141,0.008403722103722908,141,2666874
142,0.008437795803834414,142,2685788
143,0.008247418549608143,143,2704702
144,0.007939537237294042,144,2723616
145,0.007769879754499956,145,2742530
146,0.007594050928205309,146,2761444
147,0.007495509819812063,147,2780358
148,0.007414682761993668,148,2799272
149,0.007421891632476418,149,2818186
150,0.007408499712390659,150,2837100
151,0.0072513418009012565,151,2856014
152,0.007110952481850244,152,2874928
153,0.006989155584452872,153,2893842
154,0.007045141073012184,154,2912756
