step,LiarsDice3/conv,LiarsDice3/iters,LiarsDice3/nodes_touched
0,0.5555555555555555,0,0
1,0.5555555555555555,1,2294
2,0.35893671644035485,2,4588
3,0.24501716809883925,3,6882
4,0.17317982897573256,4,9176
5,0.12150254781173132,5,11470
6,0.10152957828479724,6,13764
7,0.08253362672741668,7,16058
8,0.06757264789190152,8,18352
9,0.054029504022309716,9,20646
10,0.04420595783643522,10,22940
11,0.03683829819702933,11,25234
12,0.03117086770517869,12,27528
13,0.026717886604438842,13,29822
14,0.023155501723847012,14,32116
15,0.020261064008366136,15,34410
16,0.01787180993084036,16,36704
17,0.015877913725044095,17,38998
18,0.014200266232847834,18,41292
19,0.012778739572212941,19,43586
20,0.011561716755811684,20,45880
21,0.01051065159619246,21,48174
22,0.009596681892175704,22,50468
23,0.008796958401161077,23,52762
24,0.008093201729068154,24,55056
25,0.007470647749909111,25,57350
26,0.006917266435101016,26,59644
27,0.006423175975450959,27,61938
28,0.005980198321971546,28,64232
29,0.005581518433840131,29,66526
30,0.005221420470366535,30,68820
31,0.004895081690968674,31,71114
32,0.004598410073334183,32,73408
33,0.004327915363138049,33,75702
34,0.004080605913815871,34,77996
35,0.0038539055852705797,35,80290
36,0.003645586364445133,36,82584
37,0.0034537133978953527,37,84878
38,0.0032765998903109897,38,87172
39,0.003112769895795474,39,89466
40,0.0029609274618542167,40,91760
41,0.0028199309160516148,41,94054
42,0.0026887713385608386,42,96348
43,0.0025665544595353668,43,98642
44,0.0024524853724449056,44,100936
45,0.0023458555736429604,45,103230
46,0.0022460319322113315,46,105524
47,0.0021524472683692106,47,107818
48,0.0020645922778235043,48,110112
49,0.0019820085867105486,49,112406
50,0.0019042827597807455,50,114700
51,0.0018310411151737926,51,116994
52,0.0017619452240351108,52,119288
53,0.0016966879935153278,53,121582
54,0.0016349902482965736,54,123876
55,0.0015765977394288297,55,126170
56,0.0015212785205015247,56,128464
57,0.0014688206404842377,57,130758
58,0.0014190219757319808,58,133052
59,0.0013715814257775558,59,135346
60,0.0013262779183936327,60,137640
61,0.0012829991766708446,61,139934
62,0.0012417225421438097,62,142228
63,0.001202458097486564,63,144522
64,0.0011652207830366856,64,146816
65,0.0011299110623385483,65,149110
66,0.0010961823739105842,66,151404
67,0.0010639417158543468,67,153698
68,0.001033102825539707,68,155992
69,0.0010035856019529124,69,158286
70,0.0009753155849964862,70,160580
71,0.0009482234854132354,71,162874
72,0.0009222447597854802,72,165168
73,0.000897319225737235,73,167462
74,0.0008733907130509672,74,169756
75,0.0008504067469179977,75,172050
76,0.0008283182599850905,76,174344
77,0.0008070793302418361,77,176638
78,0.0007866469421344766,78,178932
79,0.000766980768581102,79,181226
80,0.0007480429718260129,80,183520
81,0.0007297980212936511,81,185814
82,0.0007122125268047078,82,188108
83,0.0006952550856902731,83,190402
84,0.0006788961424975537,84,192696
85,0.0006631078601139137,85,194990
86,0.0006478640012606979,86,197284
87,0.0006331398194138679,87,199578
88,0.0006189119583034433,88,201872
89,0.0006051583592300153,89,204166
90,0.0005918581755106483,90,206460
91,0.0005789916934343456,91,208754
