step,SmallMatrix/conv,SmallMatrix/iters,SmallMatrix/nodes_touched
0,3000.2666666666664,0,0
1,3000.2666666666664,1,42
2,1000.4222283950617,2,84
3,500.5443873456792,3,126
4,300.59319907407047,4,168
5,200.61756172837747,5,210
6,143.48858906520726,6,252
7,107.78294874328331,7,294
8,83.97915972203462,8,336
9,67.31648148117227,9,378
10,55.198146464172005,10,420
11,46.10937359639185,11,462
12,39.11798990881876,12,504
13,33.62474134994198,13,546
14,29.230125218752093,14,588
15,25.659483408303014,15,630
16,22.71893960780731,16,672
17,20.26847203724994,17,714
18,18.20490675346019,18,756
19,16.450863299058323,19,798
20,14.947385135086753,20,840
21,13.64891493598582,21,882
22,12.51979914262042,22,924
23,11.53181202067385,23,966
24,10.662372982691414,24,1008
25,9.893243861881482,25,1050
26,9.209563929745926,26,1092
27,8.599126159302942,27,1134
28,8.051828183394017,28,1176
29,7.559251362719266,29,1218
30,7.114334903026091,30,1260
31,6.71112125916281,31,1302
32,6.344555544333037,32,1344
33,6.010326237444755,33,1386
34,5.704737748989551,34,1428
35,5.424607765778697,35,1470
36,5.167184016945357,36,1512
37,4.930076372525338,37,1554
38,4.711201129472073,38,1596
39,4.50873504761898,39,1638
40,4.321077233160427,40,1680
41,4.146817374885893,41,1722
42,3.984709151259722,42,1764
43,3.833647868192722,43,1806
44,3.692651575382643,44,1848
45,3.5608450562550087,45,1890
46,3.4374462023808507,46,1932
47,3.3217543749585166,47,1974
48,3.213140428940937,48,2016
49,3.1110381337850774,49,2058
50,3.014936771745581,50,2100
51,2.9243747325519593,51,2142
52,2.8389339540718153,52,2184
53,2.758235083628831,53,2226
54,2.6819332551530155,54,2268
55,2.6097143941871694,55,2310
56,2.541291976664486,56,2352
57,2.476404178868166,57,2394
58,2.4148113655314125,58,2436
59,2.3562938709924395,59,2478
60,2.3006500349710186,60,2520
61,2.247694460112208,61,2562
62,2.1972564631363163,62,2604
63,2.1491786953943555,63,2646
64,2.103315911979049,64,2688
65,2.0595338713846765,65,2730
66,2.0177083501278297,66,2772
67,1.9777242588042694,67,2814
68,1.9394748478211694,68,2856
69,1.9028609925561382,69,2898
70,1.8677905489935223,70,2940
71,1.8341777720071752,71,2982
72,1.8019427894243365,72,3024
73,1.771011125840219,73,3066
74,1.7413132708765744,74,3108
75,1.7127842872059098,75,3150
76,1.6853634542098754,76,3192
77,1.6589939436170171,77,3234
78,1.6336225238814979,78,3276
79,1.6091992904286734,79,3318
80,1.5856774192127836,80,3360
81,1.5630129413123992,81,3402
82,1.5411645365358915,82,3444
83,1.5200933442264468,83,3486
84,1.499762789647844,84,3528
85,1.480138424501624,85,3570
86,1.4611877802762065,86,3612
87,1.4428802332614243,87,3654
88,1.4251868801798868,88,3696
89,1.4080804234914615,89,3738
90,1.3915350655204883,90,3780
91,1.3755264106385312,91,3822
92,1.360031374809719,92,3864
93,1.3450281018720698,93,3906
94,1.3304958859875624,94,3948
