step,Subgame4/conv,Subgame4/iters
0,38.43119384765625,0
1,38.43119384765625,1
2,35.1735107421875,2
3,25.953648681640626,3
4,19.64573486328125,4
5,15.801680297851563,5
6,12.695485229492187,6
7,10.873604736328126,7
8,9.380524291992188,8
9,8.359825439453125,9
10,7.6998138427734375,10
11,7.072369842529297,11
12,6.542585754394532,12
13,5.991995391845703,13
14,5.493266906738281,14
15,5.112429809570313,15
16,4.6609962463378904,16
17,4.726841125488281,17
18,4.245798034667969,18
19,3.964175109863281,19
20,3.5916127014160155,20
21,3.2897793579101564,21
22,3.0710890960693358,22
23,2.855316390991211,23
24,2.6491661071777344,24
25,2.4537454223632813,25
26,2.2731536865234374,26
27,2.111092071533203,27
28,1.9666829681396485,28
29,1.8349317169189454,29
30,1.712325439453125,30
31,1.5964222717285157,31
32,1.4865093231201172,32
33,1.3906355285644532,33
34,1.3079084396362304,34
35,1.237786102294922,35
36,1.1763478469848634,36
37,1.1266726684570312,37
38,1.0850588226318358,38
39,1.0478187561035157,39
40,1.0123733520507812,40
41,0.9776648712158204,41
42,0.9450876235961914,42
43,0.9122265625,43
44,0.8817092895507812,44
45,0.8497098541259765,45
46,0.8198690414428711,46
47,0.7914071655273438,47
48,0.7610739898681641,48
49,0.7330860900878906,49
50,0.7080988693237305,50
51,0.6849654579162597,51
52,0.6632633399963379,52
53,0.6424592781066895,53
54,0.6226782035827637,54
55,0.6042776489257813,55
56,0.5879799842834472,56
57,0.573287239074707,57
58,0.5595399856567382,58
59,0.546704330444336,59
60,0.5346863746643067,60
61,0.5232811737060546,61
62,0.5122266006469727,62
63,0.5013213157653809,63
64,0.4904695129394531,64
65,0.479794864654541,65
66,0.4693230438232422,66
67,0.45880626678466796,67
68,0.44844717025756836,68
69,0.43836923599243166,69
70,0.42872583389282226,70
71,0.4193756103515625,71
72,0.4103427505493164,72
73,0.4015689468383789,73
74,0.3931190299987793,74
75,0.3847190475463867,75
76,0.3763986968994141,76
77,0.3682938385009766,77
78,0.36070817947387696,78
79,0.3536438751220703,79
80,0.3472579383850098,80
81,0.34160423278808594,81
82,0.33627748489379883,82
83,0.3312753486633301,83
84,0.32628138542175295,84
85,0.3212986755371094,85
86,0.31631901741027835,86
87,0.311338996887207,87
88,0.3064054012298584,88
89,0.30148807525634763,89
90,0.296622314453125,90
91,0.29191635131835936,91
92,0.2874905204772949,92
93,0.2832701301574707,93
94,0.27910993576049803,94
95,0.2749190807342529,95
96,0.27071796417236327,96
97,0.2665353107452393,97
98,0.26228817939758303,98
99,0.2580076599121094,99
100,0.2537839412689209,100
101,0.24965124130249022,101
102,0.24565698623657226,102
103,0.2417430114746094,103
104,0.23794662475585937,104
105,0.23431934356689454,105
106,0.23091595649719238,106
107,0.22776090621948242,107
108,0.22478407859802246,108
109,0.2218587017059326,109
110,0.21902204513549806,110
111,0.21631994247436523,111
112,0.2136542320251465,112
113,0.21101930618286133,113
114,0.20840434074401856,114
115,0.20571504592895506,115
116,0.20295795440673828,116
117,0.20033696174621582,117
118,0.19782444953918457,118
119,0.19540569305419922,119
120,0.1930250930786133,120
121,0.19072987556457519,121
122,0.18852724075317384,122
123,0.18632702827453612,123
124,0.18411375999450683,124
125,0.181965970993042,125
126,0.17983896255493165,126
127,0.17771316528320313,127
128,0.17557138919830323,128
129,0.17342262268066405,129
130,0.1713271474838257,130
131,0.16926518440246582,131
132,0.1672571849822998,132
133,0.16529869079589843,133
134,0.1633686065673828,134
135,0.16148180961608888,135
136,0.15961695671081544,136
137,0.15777390480041503,137
138,0.15594706535339356,138
139,0.15415577888488768,139
140,0.15242183685302735,140
141,0.15079300880432128,141
142,0.1492026424407959,142
143,0.147642560005188,143
144,0.14611457347869872,144
145,0.14458905220031737,145
146,0.14306119441986084,146
147,0.14152779579162597,147
148,0.140032320022583,148
149,0.13853591442108154,149
150,0.13704482555389405,150
151,0.13557977199554444,151
