step,BattleShip3/conv,BattleShip3/iters,BattleShip3/nodes_touched
0,0.4571428571428572,0,0
1,0.45714285714285713,1,1465214
2,1.515018315018315,2,2930428
3,0.8885339697964568,3,4395642
4,0.6899091429567488,4,5860856
5,0.6522426892402724,5,7326070
6,0.4997331166979922,6,8791284
7,0.44568125158104016,7,10256498
8,0.5196874341452986,8,11721712
9,0.5232905325658959,9,13186926
10,0.4284098910905604,10,14652140
11,0.3154754530192648,11,16117354
12,0.25441282524168357,12,17582568
13,0.2334742030602487,13,19047782
14,0.217076621609601,14,20512996
15,0.194032919909163,15,21978210
16,0.17062643447340933,16,23443424
17,0.17695229024130085,17,24908638
18,0.16917500772953598,18,26373852
19,0.14239471281932284,19,27839066
20,0.12361924729231027,20,29304280
21,0.12023575039956821,21,30769494
22,0.11565919106374284,22,32234708
23,0.12299113047430961,23,33699922
24,0.10896114513047324,24,35165136
25,0.09639958800582643,25,36630350
26,0.09034879512485078,26,38095564
27,0.0843233250467474,27,39560778
28,0.07499287400256252,28,41025992
29,0.07303661804470866,29,42491206
30,0.07325122272272072,30,43956420
31,0.06988486192040552,31,45421634
32,0.06804196020001121,32,46886848
33,0.06435843922199763,33,48352062
34,0.05997672450334657,34,49817276
35,0.05908803553359522,35,51282490
36,0.056632914964869496,36,52747704
37,0.05641622590389511,37,54212918
38,0.05242042717346733,38,55678132
39,0.048958048248665495,39,57143346
40,0.05065867750406719,40,58608560
41,0.048117249843127874,41,60073774
42,0.04359763147394749,42,61538988
43,0.04483086573047741,43,63004202
44,0.0449312613992595,44,64469416
45,0.04436663669750214,45,65934630
46,0.04132569572155742,46,67399844
47,0.04067118708620862,47,68865058
48,0.04039679760870238,48,70330272
49,0.038366140728802386,49,71795486
50,0.03739198639875749,50,73260700
51,0.03533816884221469,51,74725914
52,0.03489654720648573,52,76191128
53,0.03560218641176051,53,77656342
54,0.0340319276735776,54,79121556
55,0.03196844989586939,55,80586770
56,0.03157037256602875,56,82051984
57,0.03166854391941007,57,83517198
58,0.03145370579100987,58,84982412
59,0.03143193631909516,59,86447626
60,0.028060888656753352,60,87912840
61,0.02882673886132954,61,89378054
62,0.03108176463584232,62,90843268
63,0.030471096006639692,63,92308482
64,0.02678412257906765,64,93773696
65,0.02721829952955425,65,95238910
66,0.026929599301856788,66,96704124
67,0.026047008901989605,67,98169338
68,0.025202307216609765,68,99634552
69,0.025386735303339944,69,101099766
70,0.024040670082038043,70,102564980
