step,GoofSpiel3/conv,GoofSpiel3/iters,GoofSpiel3/nodes_touched
0,0.6666666666666666,0,0
1,0.6666666666666666,1,134
2,0.23333333333333334,2,268
3,0.08333333333333333,3,402
4,0.03888888888888889,4,536
5,0.021212121212121213,5,670
6,0.012820512820512822,6,804
7,0.008333333333333335,7,938
8,0.005718954248366014,8,1072
9,0.004093567251461989,9,1206
10,0.0030303030303030307,10,1340
11,0.0023056653491436104,11,1474
12,0.001794871794871795,12,1608
13,0.0014245014245014248,13,1742
14,0.0011494252873563223,14,1876
15,0.0009408602150537638,15,2010
16,0.0007798573975044566,16,2144
17,0.0006535947712418303,17,2278
18,0.0005531847637110796,18,2412
19,0.0004723346828609988,19,2546
20,0.0004065040650406505,20,2680
21,0.0003523608174770966,21,2814
22,0.0003074220465524814,22,2948
23,0.0002698119025593587,23,3082
24,0.00023809523809523815,24,3216
25,0.00021116138763197596,25,3350
26,0.0001881416975756599,26,3484
27,0.00016835016835016839,27,3618
28,0.00015124016938898973,28,3752
29,0.00013637249172024157,29,3886
30,0.00012339150361360832,30,4020
31,0.00011200716845878139,31,4154
32,0.000101981351981352,32,4288
33,9.311730119456198e-05,33,4422
34,8.52514919011083e-05,34,4556
35,7.824726134585293e-05,35,4690
36,7.19897980171953e-05,36,4824
37,6.638217164532956e-05,37,4958
38,6.134216660532452e-05,38,5092
39,5.6799740344044163e-05,39,5226
40,5.269497139415841e-05,40,5360
41,4.8976393378391635e-05,41,5494
42,4.55996352029184e-05,42,5628
43,4.2526305557580634e-05,43,5762
44,3.9723073430938615e-05,44,5896
45,3.716090672612413e-05,45,6030
46,3.481443903991725e-05,46,6164
47,3.2661440836132895e-05,47,6298
48,3.06823760432008e-05,48,6432
49,2.8860028860028867e-05,49,6566
50,2.717918850708601e-05,50,6700
51,2.5626381994171834e-05,51,6834
52,2.418964683115627e-05,52,6968
53,2.2858337088631568e-05,53,7102
54,2.1622957402773916e-05,54,7236
55,2.0475020475020472e-05,55,7370
56,1.940692439062257e-05,56,7504
57,1.8411846708224835e-05,57,7638
58,1.7483652784646354e-05,58,7772
59,1.6616816218012623e-05,59,7906
60,1.5806349636453955e-05,60,8040
61,1.5047744343122962e-05,61,8174
62,1.433691756272401e-05,62,8308
63,1.3670166229221343e-05,63,8442
64,1.3044126416219434e-05,64,8576
65,1.2455737646577336e-05,65,8710
66,1.1902211430883855e-05,66,8844
67,1.1381003479335345e-05,67,8978
68,1.0889789111455433e-05,68,9112
69,1.0426441455531223e-05,69,9246
70,9.989012086704622e-06,70,9380
71,9.575713801065912e-06,71,9514
72,9.184905264262842e-06,72,9648
73,8.81507730822799e-06,73,9782
74,8.464840679605777e-06,74,9916
75,8.132915069129776e-06,75,10050
76,7.81811927322763e-06,76,10184
77,7.519362358072035e-06,77,10318
78,7.235635712617087e-06,78,10452
79,6.966005891250696e-06,79,10586
80,6.70960815888352e-06,80,10720
81,6.4656406618599235e-06,81,10854
82,6.233359157249841e-06,82,10988
83,6.012072241060048e-06,83,11122
84,5.801137022856478e-06,84,11256
85,5.599955200358396e-06,85,11390
86,5.407969492871523e-06,86,11524
87,5.224660397074189e-06,87,11658
88,5.049543232746431e-06,88,11792
89,4.882165449612564e-06,89,11926
90,4.72210416961798e-06,90,12060
91,4.568963941736571e-06,91,12194
92,4.422374688854351e-06,92,12328
93,4.281989828439019e-06,93,12462
94,4.147484550620048e-06,94,12596
95,4.018554239000642e-06,95,12730
96,3.894913021028079e-06,96,12864
97,3.776292436086249e-06,97,12998
98,3.66244021066356e-06,98,13132
99,3.5531191310085774e-06,99,13266
100,3.4481060046303135e-06,100,13400
101,3.3471907028431034e-06,101,13534
102,3.2501752773095976e-06,102,13668
103,3.1568731442095727e-06,103,13802
104,3.0671083302662243e-06,104,13936
105,2.980714775403141e-06,105,14070
106,2.897535687291325e-06,106,14204
107,2.8174229434824956e-06,107,14338
108,2.7402365372178924e-06,108,14472
109,2.665844063355688e-06,109,14606
110,2.5941202411790644e-06,110,14740
111,2.524946471134812e-06,111,14874
112,2.4582104228121923e-06,112,15008
113,2.393805651706749e-06,113,15142
114,2.331631242526289e-06,114,15276
