step,KuhnPoker/conv,KuhnPoker/iters,KuhnPoker/nodes_touched
0,0.45833333333333326,0,0
1,0.45833333333333326,1,116
2,0.2583333333333333,2,232
3,0.13318452380952386,3,348
4,0.10172565394698851,4,464
5,0.06643277619627586,5,580
6,0.058802654517225134,6,696
7,0.033809586859966934,7,812
8,0.040268192711964385,8,928
9,0.02715391552612048,9,1044
10,0.022778783925763657,10,1160
11,0.025641078259778183,11,1276
12,0.027473922335038148,12,1392
13,0.013225572800102392,13,1508
14,0.014876333618820514,14,1624
15,0.017713879361799745,15,1740
16,0.01168810922585578,16,1856
17,0.01261249076501228,17,1972
18,0.010222473680915556,18,2088
19,0.015258461957230574,19,2204
20,0.01152063311376747,20,2320
21,0.009318748880328742,21,2436
22,0.0070695971908925626,22,2552
23,0.011074300143032206,23,2668
24,0.007689338683237179,24,2784
25,0.008593233650153298,25,2900
26,0.007266096076290113,26,3016
27,0.007670340925821834,27,3132
28,0.009560780132891467,28,3248
29,0.006536773757217396,29,3364
30,0.0057861566460685465,30,3480
31,0.0055383782342348364,31,3596
32,0.007239050949249065,32,3712
33,0.0057765354567999305,33,3828
34,0.005921561500256134,34,3944
35,0.0055959319484913395,35,4060
36,0.004816012096349215,36,4176
37,0.006645229857154128,37,4292
38,0.005565679154706682,38,4408
39,0.004518059081288911,39,4524
40,0.0037682196949325453,40,4640
41,0.00465715016330584,41,4756
42,0.005391543015645067,42,4872
43,0.003971323439111496,43,4988
44,0.0046384917158711625,44,5104
45,0.003919682530927282,45,5220
46,0.00385782063924775,46,5336
47,0.004770642749696713,47,5452
48,0.004242785909683661,48,5568
49,0.003358984738768417,49,5684
50,0.0031980042290169763,50,5800
51,0.003552273470855155,51,5916
52,0.0041264131796050485,52,6032
53,0.003482960955363351,53,6148
54,0.0034300889837733384,54,6264
55,0.003539202786068424,55,6380
56,0.0023855296471570475,56,6496
57,0.0035481150149745955,57,6612
58,0.003786243425437874,58,6728
59,0.0030053922765887198,59,6844
60,0.0027455158125951062,60,6960
61,0.002305592346276142,61,7076
62,0.0028753631826992643,62,7192
63,0.003422486534231217,63,7308
64,0.0025956392968986552,64,7424
65,0.002931962411752781,65,7540
66,0.0028681451514947776,66,7656
67,0.0018234016736569936,67,7772
68,0.0028729266010730226,68,7888
69,0.003217977510978298,69,8004
70,0.002688653967297616,70,8120
71,0.002135884381780223,71,8236
72,0.0019915126042068243,72,8352
73,0.0020645942811604034,73,8468
74,0.002854289779837399,74,8584
75,0.002454955601108172,75,8700
76,0.0023447348676194912,76,8816
77,0.002548840411702502,77,8932
78,0.0019483486486455703,78,9048
79,0.0019228964769903711,79,9164
80,0.002694238230871726,80,9280
81,0.002698650505595035,81,9396
82,0.00211596454072438,82,9512
83,0.0018881128644766543,83,9628
84,0.0015690402606702014,84,9744
85,0.0020515039073051577,85,9860
86,0.0022730795885395616,86,9976
87,0.0022516587650679154,87,10092
88,0.0020668134971220387,88,10208
89,0.0020435468730506112,89,10324
90,0.0016156856955606147,90,10440
91,0.0016523695116394677,91,10556
92,0.0023363273910426974,92,10672
93,0.002401356809849875,93,10788
94,0.002113719539386355,94,10904
95,0.0013673228196509069,95,11020
96,0.0016774614429506673,96,11136
97,0.0016477768153435324,97,11252
98,0.0018798724589281224,98,11368
99,0.002171621671025692,99,11484
100,0.0016663419703409899,100,11600
101,0.001676094969128239,101,11716
102,0.0017238549272826365,102,11832
103,0.0013152201923658235,103,11948
104,0.0018024384696340712,104,12064
105,0.0021649529382781196,105,12180
106,0.0020978827292369717,106,12296
107,0.0014181087108775803,107,12412
108,0.0014873912070433315,108,12528
109,0.0014719424086597488,109,12644
110,0.001451227212736994,110,12760
111,0.0019092414876147878,111,12876
112,0.0018092639391370513,112,12992
113,0.0013159205973376775,113,13108
114,0.0016532720497357267,114,13224
115,0.0013677517257425775,115,13340
116,0.0012625266383841094,116,13456
117,0.0015112907310085855,117,13572
118,0.0018940394015282136,118,13688
119,0.0016427958570066348,119,13804
120,0.001417478969182956,120,13920
121,0.0012734615222979029,121,14036
122,0.0012936566676652606,122,14152
123,0.0012665134436183612,123,14268
124,0.0016254506284963388,124,14384
125,0.0015300643167646677,125,14500
126,0.0012872565362033184,126,14616
127,0.0013819428710724058,127,14732
128,0.0013964634604729798,128,14848
129,0.001232006987388401,129,14964
130,0.0011727118925231317,130,15080
131,0.0014919902269502905,131,15196
132,0.0014980461599271022,132,15312
133,0.001369629769529701,133,15428
134,0.0010458563858201375,134,15544
135,0.0011983454115127579,135,15660
136,0.000995056578858483,136,15776
137,0.0012349530998358726,137,15892
138,0.0014403567906991488,138,16008
139,0.0013442208222187169,139,16124
140,0.0011355708500632167,140,16240
141,0.0013571857917119012,141,16356
142,0.0012825150955378395,142,16472
143,0.0009063767435062986,143,16588
144,0.0011280848115122755,144,16704
145,0.0014081104399196465,145,16820
146,0.0014320653620632784,146,16936
147,0.00117304435970228,147,17052
148,0.0010121291140890443,148,17168
149,0.0009840799098214947,149,17284
150,0.0007870826848094814,150,17400
151,0.0012056348761784463,151,17516
152,0.0012758967821868694,152,17632
153,0.0011848971970150335,153,17748
154,0.001154152819590859,154,17864
155,0.001228973005686862,155,17980
156,0.0010559603407443718,156,18096
157,0.000775335255430526,157,18212
158,0.0010936744164628531,158,18328
159,0.0013507725193181996,159,18444
160,0.001311410592805512,160,18560
161,0.0011814039861577919,161,18676
