step,LeducPoker/conv,LeducPoker/iters,LeducPoker/nodes_touched
0,2.373611111111111,0,0
1,2.373611111111111,1,18914
2,2.055194444444444,2,37828
3,1.81582968564199,3,56742
4,1.6547655971487845,4,75656
5,1.4505468837909523,5,94570
6,1.3993607871239666,6,113484
7,1.1753267654942392,7,132398
8,1.18299938452317,8,151312
9,0.949556685607146,9,170226
10,0.7788020469962015,10,189140
11,0.606149318152789,11,208054
12,0.4931129723972595,12,226968
13,0.38334574755667794,13,245882
14,0.3276929465170484,14,264796
15,0.287720101694781,15,283710
16,0.24987115913103364,16,302624
17,0.2204798015219169,17,321538
18,0.19394441767233495,18,340452
19,0.18060116105345494,19,359366
20,0.166796817989443,20,378280
21,0.15711028408585212,21,397194
22,0.13432797250724093,22,416108
23,0.12059885018120689,23,435022
24,0.111049449591787,24,453936
25,0.10350068195729414,25,472850
26,0.09991109583421132,26,491764
27,0.08631723882068698,27,510678
28,0.07028622747079588,28,529592
29,0.06455086960359471,29,548506
30,0.06377842416219265,30,567420
31,0.061048311114812515,31,586334
32,0.056833138950448364,32,605248
33,0.05629619461795035,33,624162
34,0.05242799715656843,34,643076
35,0.04760389051904715,35,661990
36,0.04360765456017088,36,680904
37,0.04231694693992488,37,699818
38,0.04017834402621982,38,718732
39,0.038684857315589447,39,737646
40,0.03880480964905908,40,756560
41,0.03625517929846307,41,775474
42,0.03281332397467876,42,794388
43,0.029725983952797297,43,813302
44,0.0307317015078852,44,832216
45,0.02641642722454051,45,851130
46,0.028010520776785036,46,870044
47,0.0351110140655044,47,888958
48,0.03335927344938785,48,907872
49,0.026280696059365505,49,926786
50,0.022921832286570437,50,945700
51,0.02685770774520304,51,964614
52,0.028803324402181363,52,983528
53,0.02393695880168717,53,1002442
54,0.020895981593271842,54,1021356
55,0.021428024920026212,55,1040270
56,0.02249494608136643,56,1059184
57,0.023458657334997683,57,1078098
58,0.022174427709539674,58,1097012
59,0.01963361029456931,59,1115926
60,0.019695496907481264,60,1134840
61,0.01897948892611452,61,1153754
62,0.01741493120765583,62,1172668
63,0.016674280710557765,63,1191582
64,0.01689414717122853,64,1210496
65,0.01715559166892676,65,1229410
66,0.015395164491086986,66,1248324
67,0.01595011298351405,67,1267238
68,0.01626402530727862,68,1286152
69,0.01745717022364285,69,1305066
70,0.015770371858726734,70,1323980
71,0.014704161223325615,71,1342894
72,0.015587439212872423,72,1361808
73,0.014550116901003649,73,1380722
74,0.01337023620010623,74,1399636
75,0.013332532516736106,75,1418550
76,0.01314961179346616,76,1437464
77,0.013649041345394596,77,1456378
78,0.012729614602543939,78,1475292
79,0.011970565036094172,79,1494206
80,0.012101241843671118,80,1513120
81,0.011952469448568523,81,1532034
82,0.011868627263565218,82,1550948
83,0.011625283476815268,83,1569862
84,0.011011310085001988,84,1588776
85,0.010121390101235514,85,1607690
86,0.009708085786015716,86,1626604
87,0.01004874549591444,87,1645518
88,0.00886968710024258,88,1664432
89,0.008283292750444038,89,1683346
90,0.008370937997336389,90,1702260
91,0.00712268006725103,91,1721174
92,0.0072417395787292005,92,1740088
93,0.007707304683588503,93,1759002
94,0.007572720764860777,94,1777916
95,0.007132749433605534,95,1796830
96,0.006962585349323994,96,1815744
97,0.006958062580303598,97,1834658
98,0.006965067631862373,98,1853572
99,0.007211707931039882,99,1872486
100,0.007753340469168979,100,1891400
101,0.007320881057739537,101,1910314
102,0.006723766136327858,102,1929228
103,0.007056595575196889,103,1948142
104,0.007552482880581246,104,1967056
105,0.007751930699256199,105,1985970
106,0.006552451113027047,106,2004884
107,0.006794251287395747,107,2023798
108,0.00669749843873442,108,2042712
109,0.005981685052763155,109,2061626
110,0.0059749344205847765,110,2080540
111,0.006208082018367991,111,2099454
112,0.00644780241033667,112,2118368
113,0.005566315472645536,113,2137282
114,0.0056637817957835845,114,2156196
115,0.0060143476540260865,115,2175110
116,0.005854308376919859,116,2194024
117,0.0055842764077798646,117,2212938
118,0.005441751768922559,118,2231852
119,0.005686258715276088,119,2250766
120,0.005575154122605536,120,2269680
121,0.005175996980771869,121,2288594
122,0.005023809731576512,122,2307508
123,0.005008574370956698,123,2326422
124,0.0052542415010005256,124,2345336
125,0.005334909993118475,125,2364250
126,0.00454904984574514,126,2383164
127,0.004740314528207057,127,2402078
128,0.004453397807937201,128,2420992
129,0.004411281582911666,129,2439906
130,0.003985677253806844,130,2458820
131,0.004532380636547484,131,2477734
132,0.003820766503349629,132,2496648
133,0.00410705736373386,133,2515562
134,0.003588476352593614,134,2534476
135,0.0036666513214261356,135,2553390
136,0.003486780360761013,136,2572304
137,0.003432224355702611,137,2591218
138,0.0030727918449377084,138,2610132
139,0.00332063433216212,139,2629046
140,0.0036035478466007187,140,2647960
141,0.003511931214147321,141,2666874
142,0.0032337215846600514,142,2685788
143,0.003019284889796414,143,2704702
144,0.0033855393155569277,144,2723616
145,0.0038315082367270173,145,2742530
146,0.003538848157957575,146,2761444
147,0.0029087993178406185,147,2780358
148,0.0027780750489833084,148,2799272
149,0.0033763148266983123,149,2818186
150,0.003491107265607432,150,2837100
151,0.003319124994229594,151,2856014
152,0.0029562511513302123,152,2874928
153,0.0029804400019768085,153,2893842
