step,LiarsDice4/conv,LiarsDice4/iters,LiarsDice4/nodes_touched
0,0.6550595238095238,0,0
1,0.6550595238095238,1,16362
2,0.3536767596772931,2,32724
3,0.37834386780843177,3,49086
4,0.3083585193738217,4,65448
5,0.23570973026056924,5,81810
6,0.20003893289096855,6,98172
7,0.18679543935190138,7,114534
8,0.15288509039728632,8,130896
9,0.11543012305015792,9,147258
10,0.0993776429917604,10,163620
11,0.08453051797206501,11,179982
12,0.07737907652979648,12,196344
13,0.07014330081806885,13,212706
14,0.06400681725696888,14,229068
15,0.05879634437565245,15,245430
16,0.056738964317130845,16,261792
17,0.05304006915019032,17,278154
18,0.04313492464461103,18,294516
19,0.04301750912438317,19,310878
20,0.0382078278358948,20,327240
21,0.03455819171595079,21,343602
22,0.03288868847539092,22,359964
23,0.02885391582548301,23,376326
24,0.02661969840186036,24,392688
25,0.02460817291969905,25,409050
26,0.0231713109836306,26,425412
27,0.02099324739714295,27,441774
28,0.018899180218776,28,458136
29,0.017733792129118173,29,474498
30,0.016556245868300533,30,490860
31,0.015074831449168574,31,507222
32,0.013697956981643555,32,523584
33,0.01251856879558616,33,539946
34,0.010900673242070648,34,556308
35,0.009604878622675096,35,572670
36,0.008444398296341582,36,589032
37,0.00782921365985624,37,605394
38,0.00723957238073554,38,621756
39,0.006595670323290663,39,638118
40,0.006191704782272815,40,654480
41,0.005815346633019719,41,670842
42,0.005164747374214282,42,687204
43,0.005145820125820662,43,703566
44,0.005133842878175206,44,719928
45,0.00506515982117358,45,736290
46,0.0049399128745739596,46,752652
47,0.004768760922446477,47,769014
48,0.004485172472200628,48,785376
49,0.004171026075021109,49,801738
50,0.003705829496413418,50,818100
51,0.0033594983703037,51,834462
52,0.003251134035969591,52,850824
53,0.003027801545486604,53,867186
54,0.0027777272767847694,54,883548
55,0.0025325664127666195,55,899910
56,0.0023691864269508173,56,916272
57,0.002341566730755515,57,932634
58,0.002356329145304696,58,948996
59,0.002398434054207574,59,965358
60,0.0023687318589596384,60,981720
61,0.0023085812764867333,61,998082
62,0.0022178057392948022,62,1014444
63,0.002081235023311555,63,1030806
64,0.0018847037115161114,64,1047168
65,0.001774643163988121,65,1063530
66,0.0017398319140949497,66,1079892
67,0.0016246806137020994,67,1096254
68,0.001448167313158985,68,1112616
69,0.0013442905347566883,69,1128978
70,0.0012729566358171407,70,1145340
71,0.0012978276437817862,71,1161702
72,0.0013737810859322137,72,1178064
73,0.0013938749594690908,73,1194426
74,0.001372742900541058,74,1210788
75,0.0013494732376749946,75,1227150
76,0.0013283637614340468,76,1243512
77,0.0012283206401527275,77,1259874
78,0.0011027861996839791,78,1276236
79,0.0011284779187521465,79,1292598
80,0.0011132098212353059,80,1308960
81,0.0010049739145446962,81,1325322
82,0.0008806032412140355,82,1341684
83,0.0008212050573373382,83,1358046
84,0.0007944356828144157,84,1374408
85,0.0008927816424245602,85,1390770
86,0.0009404388730241096,86,1407132
87,0.0009165861493490683,87,1423494
88,0.000899370115046004,88,1439856
89,0.0009119524614482621,89,1456218
90,0.0008753331148249749,90,1472580
91,0.0007741345014780285,91,1488942
92,0.0007741591722129279,92,1505304
93,0.000808507768016456,93,1521666
94,0.0007597926663197793,94,1538028
95,0.0006551526165076982,95,1554390
96,0.0005883968975619915,96,1570752
97,0.0005592049370359599,97,1587114
98,0.0006119007922128425,98,1603476
99,0.000682515580320401,99,1619838
100,0.0006844504782537522,100,1636200
101,0.0006392146111113481,101,1652562
102,0.0006576622908932156,102,1668924
103,0.00065800186823365,103,1685286
104,0.0005948159398528052,104,1701648
105,0.0005535263403054283,105,1718010
106,0.0006110213521514224,106,1734372
107,0.0005978745574744815,107,1750734
108,0.0005141800995266399,108,1767096
109,0.00045218806661023736,109,1783458
110,0.00042684656323217773,110,1799820
111,0.00043683948869304226,111,1816182
112,0.0005157667603992652,112,1832544
113,0.0005339214225618741,113,1848906
114,0.0004922789475174938,114,1865268
115,0.0004923710137947138,115,1881630
116,0.0005136344935392778,116,1897992
117,0.00047552153217113313,117,1914354
118,0.00043599535495583014,118,1930716
119,0.00047602747660793754,119,1947078
120,0.00048363144839856653,120,1963440
121,0.0004258789435869076,121,1979802
122,0.0003769675901397207,122,1996164
123,0.00034557416372917385,123,2012526
124,0.0003387786940107877,124,2028888
125,0.0004016023479177337,125,2045250
126,0.0004272787319650022,126,2061612
127,0.0003989253058103888,127,2077974
128,0.0003867657680188541,128,2094336
129,0.00041285515586796107,129,2110698
130,0.0003904511765463886,130,2127060
131,0.00035803536771845945,131,2143422
132,0.0003803776087149893,132,2159784
133,0.00039957497559486854,133,2176146
134,0.00035900099906889527,134,2192508
135,0.0003218302466127254,135,2208870
136,0.00028743489388044843,136,2225232
137,0.0002908155857214989,137,2241594
138,0.0003211337634812135,138,2257956
139,0.00034790032575211793,139,2274318
140,0.0003293005407962353,140,2290680
141,0.00032369591285592164,141,2307042
142,0.0003400408724545667,142,2323404
143,0.00032663748008901483,143,2339766
144,0.0003005315301201905,144,2356128
145,0.00031854263454726695,145,2372490
146,0.0003359801917572208,146,2388852
147,0.0003064067752043126,147,2405214
148,0.0002782354724450084,148,2421576
149,0.00025431314073791,149,2437938
150,0.00025254966954289457,150,2454300
151,0.0002773556363904611,151,2470662
152,0.0002954177797399246,152,2487024
153,0.0002751026498402018,153,2503386
154,0.0002816391924282263,154,2519748
155,0.00028597520288317635,155,2536110
156,0.00027691408461306966,156,2552472
157,0.0002552596489315273,157,2568834
158,0.0002761993805415891,158,2585196
159,0.00028689307226271304,159,2601558
160,0.0002640518864978625,160,2617920
161,0.00024188763112951983,161,2634282
162,0.0002256580094114509,162,2650644
163,0.00022055325706736226,163,2667006
164,0.00024346504945829336,164,2683368
165,0.00026377892131744865,165,2699730
166,0.00023301061742008258,166,2716092
167,0.00024868708040669957,167,2732454
168,0.0002447828456598883,168,2748816
169,0.00023706119384457602,169,2765178
170,0.0002186307924953862,170,2781540
171,0.00024188126897261436,171,2797902
172,0.0002483941979362775,172,2814264
173,0.00022946667314834024,173,2830626
174,0.00021059157619278748,174,2846988
175,0.0001994527062358295,175,2863350
176,0.00019280891441603512,176,2879712
177,0.00021585676588989702,177,2896074
178,0.00023711782266188502,178,2912436
179,0.000209774190408029,179,2928798
180,0.00022193432910903171,180,2945160
181,0.00021371362854309683,181,2961522
182,0.00020453376418873292,182,2977884
183,0.0001931672548944191,183,2994246
184,0.00021343842070857544,184,3010608
185,0.0002177689599775351,185,3026970
186,0.00020107223428030702,186,3043332
187,0.00018323789909796204,187,3059694
188,0.0001747009471708763,188,3076056
189,0.00016809763784888382,189,3092418
190,0.0001921996665142922,190,3108780
191,0.00021382108001471653,191,3125142
192,0.00018985749806285993,192,3141504
193,0.00019925702829424324,193,3157866
194,0.0001929036649619617,194,3174228
195,0.00018242492507460767,195,3190590
196,0.0001713395837831186,196,3206952
197,0.00018959033264007857,197,3223314
198,0.00019919461830862628,198,3239676
199,0.00018122068822240545,199,3256038
200,0.0001607953485971321,200,3272400
201,0.00015104317868162506,201,3288762
202,0.00014571542465158238,202,3305124
203,0.00017097508902214759,203,3321486
204,0.00019300540389311643,204,3337848
205,0.00017291676733489567,205,3354210
206,0.00017913757628985894,206,3370572
207,0.00017471552748923175,207,3386934
208,0.00016791386861989,208,3403296
209,0.0001586804397305311,209,3419658
210,0.00016939759540832156,210,3436020
211,0.0001850624598510181,211,3452382
212,0.00017287335378399216,212,3468744
213,0.00014989073740219808,213,3485106
214,0.0001348093327587542,214,3501468
215,0.00012782675440659724,215,3517830
216,0.00015120418850778083,216,3534192
217,0.0001741708245623537,217,3550554
218,0.00015875325640028054,218,3566916
219,0.00016057437923845674,219,3583278
220,0.00015820108761680635,220,3599640
221,0.00015485189301310542,221,3616002
222,0.00014701502353062917,222,3632364
223,0.000152012253913536,223,3648726
224,0.0001728935232004694,224,3665088
225,0.00016577985582941906,225,3681450
226,0.00013939942520068208,226,3697812
227,0.00012314397774187621,227,3714174
228,0.00011168884795025383,228,3730536
229,0.00013225246948187983,229,3746898
230,0.00015694236861370225,230,3763260
231,0.00014706288969724285,231,3779622
232,0.00014297859284783526,232,3795984
233,0.00014270676819484046,233,3812346
234,0.00014288200712247318,234,3828708
235,0.0001344322919077101,235,3845070
236,0.00013660538838319858,236,3861432
237,0.0001617733181466935,237,3877794
238,0.00015919951709589264,238,3894156
239,0.00012950446535859444,239,3910518
240,0.00011736969690292684,240,3926880
241,0.00010349555295520452,241,3943242
242,0.00011368470480547024,242,3959604
243,0.00014121952270767374,243,3975966
244,0.0001400905313778296,244,3992328
245,0.00012844395478954496,245,4008690
246,0.0001277795039467955,246,4025052
247,0.00013166705081782415,247,4041414
248,0.00012085189204722596,248,4057776
249,0.0001243308437937421,249,4074138
250,0.0001509253882623629,250,4090500
251,0.0001525252718763137,251,4106862
252,0.00012422101163417354,252,4123224
253,0.000112246989714751,253,4139586
254,9.832370238119573e-05,254,4155948
255,9.968667665900821e-05,255,4172310
256,0.00013077360744709332,256,4188672
257,0.00013497027065665496,257,4205034
258,0.00012006380264949906,258,4221396
259,0.00011310552124105255,259,4237758
260,0.00012083587131072465,260,4254120
261,0.00010627344229480196,261,4270482
262,0.00011345225198999831,262,4286844
263,0.00013972939570370407,263,4303206
264,0.00014525709080788485,264,4319568
265,0.00012063236347761852,265,4335930
266,0.0001069804939211709,266,4352292
267,9.325289088705363e-05,267,4368654
268,8.48437716628285e-05,268,4385016
269,0.00011875590601826205,269,4401378
270,0.00012867143441238835,270,4417740
271,0.0001119150729505837,271,4434102
272,0.00010517865324629477,272,4450464
273,0.00011000199859299842,273,4466826
274,9.944980581166885e-05,274,4483188
275,0.00010134481248111338,275,4499550
276,0.00012772588342931102,276,4515912
277,0.00013699876159894986,277,4532274
278,0.0001187463212647677,278,4548636
279,0.00010076309189245916,279,4564998
280,8.988179705361754e-05,280,4581360
281,7.680380245533858e-05,281,4597722
282,0.0001048128550310834,282,4614084
283,0.00012053424665028206,283,4630446
284,0.00011212511726406416,284,4646808
285,0.00010105481176275743,285,4663170
286,0.0001055345151390677,286,4679532
287,9.519488210608246e-05,287,4695894
288,8.822281529013293e-05,288,4712256
289,0.00011577895772277302,289,4728618
290,0.00012746203822823488,290,4744980
291,0.00011589868670262155,291,4761342
292,9.288463885023801e-05,292,4777704
293,9.061556312068772e-05,293,4794066
294,7.388395454149474e-05,294,4810428
295,8.879325829773757e-05,295,4826790
296,0.00011008606925913891,296,4843152
297,0.00011030929460451727,297,4859514
298,9.641612243310727e-05,298,4875876
299,9.945674321058806e-05,299,4892238
300,9.306054931890878e-05,300,4908600
301,7.699917212898588e-05,301,4924962
302,0.00010512362173716733,302,4941324
303,0.00011824566558015642,303,4957686
304,0.00011172058336127166,304,4974048
305,9.028015698896164e-05,305,4990410
306,8.923325694872031e-05,306,5006772
307,7.74714349596993e-05,307,5023134
308,7.075161261032789e-05,308,5039496
309,9.706995678419525e-05,309,5055858
310,0.00010583520089776921,310,5072220
311,9.430418249832193e-05,311,5088582
312,9.443888719781746e-05,312,5104944
313,9.05677408316527e-05,313,5121306
314,7.791368797578635e-05,314,5137668
315,9.124773658489294e-05,315,5154030
316,0.0001109789635560382,316,5170392
317,0.0001082998082010192,317,5186754
318,9.109949104767201e-05,318,5203116
319,8.503190736362451e-05,319,5219478
320,8.121901294117287e-05,320,5235840
321,6.42572094188068e-05,321,5252202
322,8.14320539684471e-05,322,5268564
323,9.824269335467761e-05,323,5284926
324,9.66896554459723e-05,324,5301288
325,9.174990505508851e-05,325,5317650
326,9.102588561816366e-05,326,5334012
327,7.73620862359603e-05,327,5350374
328,7.410144048142914e-05,328,5366736
329,0.00010015663072627384,329,5383098
330,0.00010552188466297907,330,5399460
331,9.224975195329388e-05,331,5415822
332,8.578530052207045e-05,332,5432184
333,8.206730054314756e-05,333,5448546
334,6.657350160304068e-05,334,5464908
335,6.508600970433695e-05,335,5481270
336,8.72327762247993e-05,336,5497632
337,9.546824627034572e-05,337,5513994
338,8.874062204515532e-05,338,5530356
339,8.909200323654887e-05,339,5546718
340,8.094952783777032e-05,340,5563080
341,6.928969098538018e-05,341,5579442
342,8.545130171849769e-05,342,5595804
343,9.922800261141784e-05,343,5612166
344,9.439052385654123e-05,344,5628528
345,8.767205226397484e-05,345,5644890
346,7.918350300789578e-05,346,5661252
347,7.191806359828357e-05,347,5677614
348,5.291749093012943e-05,348,5693976
349,7.268751219159306e-05,349,5710338
350,8.997534841119134e-05,350,5726700
351,8.868168457038667e-05,351,5743062
352,8.751129549318393e-05,352,5759424
353,8.344459898487755e-05,353,5775786
354,7.020169995392012e-05,354,5792148
355,7.071673820234492e-05,355,5808510
356,9.284715566644508e-05,356,5824872
357,9.379286427678435e-05,357,5841234
358,8.47232417113819e-05,358,5857596
359,8.375294723988319e-05,359,5873958
360,7.367401282938266e-05,360,5890320
361,5.7407176341617294e-05,361,5906682
362,5.6197532033813724e-05,362,5923044
363,7.97548244991994e-05,363,5939406
364,8.877900491215812e-05,364,5955768
365,8.40787010773919e-05,365,5972130
366,8.25411858995373e-05,366,5988492
367,7.612025398477662e-05,367,6004854
368,6.675109490671821e-05,368,6021216
369,8.230235682765014e-05,369,6037578
370,9.119217223325232e-05,370,6053940
371,8.841827083249515e-05,371,6070302
372,8.492514297298026e-05,372,6086664
373,7.056517357851427e-05,373,6103026
374,6.385033798064765e-05,374,6119388
375,5.0707761393410655e-05,375,6135750
376,6.473317153700767e-05,376,6152112
377,8.302433189682698e-05,377,6168474
378,8.3145942176132e-05,378,6184836
379,7.875735889966567e-05,379,6201198
380,7.940396346182987e-05,380,6217560
381,7.151411736471686e-05,381,6233922
382,6.643070908975146e-05,382,6250284
383,8.460173263923065e-05,383,6266646
384,8.79688860751307e-05,384,6283008
385,8.440587976606823e-05,385,6299370
386,7.807204603678397e-05,386,6315732
387,6.629373671623168e-05,387,6332094
388,5.456213705763366e-05,388,6348456
389,5.307036436073484e-05,389,6364818
390,7.107722812486894e-05,390,6381180
391,8.180063873385046e-05,391,6397542
392,7.468916051492705e-05,392,6413904
393,7.758824986413282e-05,393,6430266
394,7.59952876943637e-05,394,6446628
395,6.73124234663175e-05,395,6462990
396,7.15029596606645e-05,396,6479352
397,8.109175225902432e-05,397,6495714
398,8.739452887015359e-05,398,6512076
399,8.18240287605368e-05,399,6528438
400,6.842186421043839e-05,400,6544800
401,6.031853185944902e-05,401,6561162
402,5.1776528950026046e-05,402,6577524
403,5.7895936689224964e-05,403,6593886
404,7.298201170462607e-05,404,6610248
405,7.747000514213634e-05,405,6626610
406,6.969555754705176e-05,406,6642972
407,7.729054779502531e-05,407,6659334
408,7.16781611777434e-05,408,6675696
409,6.250804953672473e-05,409,6692058
410,7.139321250441977e-05,410,6708420
411,8.336723126632639e-05,411,6724782
412,8.504806149980254e-05,412,6741144
413,7.560260797034174e-05,413,6757506
414,6.11180198268231e-05,414,6773868
415,5.6442273163297835e-05,415,6790230
416,5.2075786161859955e-05,416,6806592
417,6.184553512628838e-05,417,6822954
418,7.169679807230225e-05,418,6839316
419,7.241778021284742e-05,419,6855678
420,7.19176533563945e-05,420,6872040
421,7.564641450808623e-05,421,6888402
422,6.546592757580155e-05,422,6904764
423,6.179150983344484e-05,423,6921126
424,7.085798732246046e-05,424,6937488
425,8.36725971581076e-05,425,6953850
426,8.013869403585006e-05,426,6970212
427,6.941442542950094e-05,427,6986574
428,5.691788328585773e-05,428,7002936
429,5.460832687542369e-05,429,7019298
430,5.111851063577255e-05,430,7035660
431,6.035508126431971e-05,431,7052022
432,6.943659617402939e-05,432,7068384
433,6.912933912911132e-05,433,7084746
434,7.259477286634952e-05,434,7101108
435,7.19320696805012e-05,435,7117470
436,5.87308176946133e-05,436,7133832
437,6.084622671705814e-05,437,7150194
438,7.310079497960253e-05,438,7166556
439,8.119532638545257e-05,439,7182918
440,7.376433703435575e-05,440,7199280
441,6.535784532847588e-05,441,7215642
442,5.7214486796273306e-05,442,7232004
443,5.235241187473427e-05,443,7248366
444,5.1135760958005705e-05,444,7264728
445,5.70816666488512e-05,445,7281090
446,6.77591238439669e-05,446,7297452
447,6.675408683960715e-05,447,7313814
448,7.114922160133402e-05,448,7330176
449,6.649815507352164e-05,449,7346538
450,5.982028440664616e-05,450,7362900
451,5.883599475865059e-05,451,7379262
452,7.247675418363408e-05,452,7395624
453,7.710826101794271e-05,453,7411986
454,7.041815253093497e-05,454,7428348
455,6.307051026687577e-05,455,7444710
456,5.686225399961081e-05,456,7461072
457,4.8898379422852856e-05,457,7477434
458,4.710937100484147e-05,458,7493796
459,5.6852042350948734e-05,459,7510158
460,6.68670304306701e-05,460,7526520
461,6.297926119403635e-05,461,7542882
462,6.783774891130218e-05,462,7559244
463,6.070508047900658e-05,463,7575606
464,5.967031081631491e-05,464,7591968
465,5.8111566925027336e-05,465,7608330
466,7.00439054273222e-05,466,7624692
467,7.326862231495784e-05,467,7641054
468,7.000658405746651e-05,468,7657416
469,6.35966446271008e-05,469,7673778
470,5.5101450543815905e-05,470,7690140
471,4.509025049100057e-05,471,7706502
472,4.186909277983236e-05,472,7722864
473,5.6984656464736244e-05,473,7739226
474,6.60829695962109e-05,474,7755588
475,6.325659851581095e-05,475,7771950
476,6.367206906397749e-05,476,7788312
477,5.593125937710525e-05,477,7804674
478,5.7758242250724456e-05,478,7821036
479,5.713648571505775e-05,479,7837398
480,6.730157746758642e-05,480,7853760
481,7.086336666074083e-05,481,7870122
482,6.92559357626521e-05,482,7886484
483,6.167783683326544e-05,483,7902846
484,5.247505122242882e-05,484,7919208
485,4.2351233191850746e-05,485,7935570
486,3.760855585090844e-05,486,7951932
