step,SmallMatrix/conv,SmallMatrix/iters,SmallMatrix/nodes_touched
0,3000.2666666666664,0,0
1,3000.2666666666664,1,42
2,600.5200074074074,2,84
3,214.89984193121796,3,126
4,100.64182796538725,4,168
5,55.198109475874446,5,210
6,33.62464149456809,6,252
7,22.088649248514006,7,294
8,15.36722701322084,8,336
9,11.188283966461908,9,378
10,8.454427256560308,10,420
11,6.591094967632713,11,462
12,5.27749826481108,12,504
13,4.324888069929398,13,546
14,3.61724811981643,14,588
15,3.0805837010749917,15,630
16,2.666182119118641,16,672
17,2.341081198528748,17,714
18,2.082433453837889,18,756
19,1.874062236019343,19,798
20,1.704295455811479,20,840
21,1.5645674454643146,21,882
22,1.4484956086893859,22,924
23,1.3512578949871497,23,966
24,1.2691651744379289,24,1008
25,1.1993624630279434,25,1050
26,1.139616912952177,26,1092
27,1.0881652186753128,27,1134
28,1.0436023427108903,28,1176
29,1.0047993876634755,29,1218
30,0.9708422992743576,30,1260
31,0.940985639802711,31,1302
32,0.9146173881935462,32,1344
33,0.8912318939406838,33,1386
34,0.8704089198460698,34,1428
35,0.8517972738986894,35,1470
36,0.8351019299862502,36,1512
37,0.8200738226377324,37,1554
38,0.8065017070666078,38,1596
39,0.7942056259453425,39,1638
40,0.7830316347409034,40,1680
41,0.7728475192933877,41,1722
42,0.7635393004927178,42,1764
43,0.7550083669728043,43,1806
44,0.7471691116796934,44,1848
45,0.7399469748491032,45,1890
46,0.7332768164339558,46,1932
47,0.7271015568803714,47,1974
48,0.7213710374868731,48,2016
49,0.716041061232458,49,2058
50,0.7110725825500355,50,2100
51,0.7064310205230482,51,2142
52,0.7020856747512036,52,2184
53,0.6980092269375022,53,2226
54,0.6941773143010147,54,2268
55,0.6905681633781765,55,2310
56,0.6871622747636197,56,2352
57,0.6839421509561335,57,2394
58,0.6808920607915534,58,2436
59,0.6779978350213726,59,2478
60,0.6752466884803245,60,2520
61,0.6726270650150161,61,2562
62,0.6701285019483342,62,2604
63,0.6677415113542388,63,2646
64,0.6654574758335314,64,2688
65,0.6632685568283779,65,2730
66,0.6611676138039844,66,2772
67,0.6591481328698066,67,2814
68,0.6572041636180359,68,2856
69,0.6553302631304352,69,2898
70,0.6535214462512831,70,2940
71,0.6517731413486,71,2982
72,0.6500811508916439,72,3024
73,0.6484416162628539,73,3066
74,0.6468509862994675,74,3108
75,0.6453059891260156,75,3150
76,0.6438036068955152,76,3192
77,0.6423410531058511,77,3234
78,0.6409157521997968,78,3276
79,0.6395253211933292,79,3318
80,0.6381675531082307,80,3360
81,0.6368404020121126,81,3402
82,0.6355419694925801,82,3444
83,0.6342704924127591,83,3486
84,0.633024331813275,84,3528
85,0.6318019628413745,85,3570
86,0.6306019656015084,86,3612
87,0.6294230168336483,87,3654
88,0.628263882336068,88,3696
89,0.6271234100585357,89,3738
90,0.6260005237999476,90,3780
91,0.6248942174515731,91,3822
92,0.6238035497333666,92,3864
