step,Subgame3/conv,Subgame3/iters
0,27.81675537109375,0
1,27.81675537109375,1
2,20.04785400390625,2
3,12.109528198242188,3
4,8.412718200683594,4
5,5.570713806152344,5
6,3.5151710510253906,6
7,2.5432814025878905,7
8,2.054621276855469,8
9,1.9431080627441406,9
10,1.6711455535888673,10
11,3.154573516845703,11
12,2.485881652832031,12
13,1.9214276123046874,13
14,1.5924295043945313,14
15,2.193961181640625,15
16,1.8813553619384766,16
17,2.0898345947265624,17
18,2.21966552734375,18
19,2.240192108154297,19
20,2.1014312744140624,20
21,1.9563282775878905,21
22,1.8180966186523437,22
23,1.6790364074707032,23
24,1.5468852233886718,24
25,1.420036849975586,25
26,1.3051803588867188,26
27,1.2090763854980469,27
28,1.1241971969604492,28
29,1.0555101776123046,29
30,0.9944060134887696,30
31,0.9420548629760742,31
32,0.8960688400268555,32
33,0.8531642532348633,33
34,0.8128022384643555,34
35,0.7758071136474609,35
36,0.7410565948486328,36
37,0.7082836532592773,37
38,0.6770438385009766,38
39,0.6467129135131836,39
40,0.6174324035644532,40
41,0.589267578125,41
42,0.5642232704162597,42
43,0.5395719909667969,43
44,0.5152190399169921,44
45,0.5080721664428711,45
46,0.4890562629699707,46
47,0.4703967094421387,47
48,0.4538380241394043,48
49,0.4375270652770996,49
50,0.42247714996337893,50
51,0.40947872161865234,51
52,0.39774059295654296,52
53,0.3864612579345703,53
54,0.37604143142700197,54
55,0.36625627517700193,55
56,0.3572528076171875,56
57,0.350084114074707,57
58,0.34318602561950684,58
59,0.3352462196350098,59
60,0.3268301200866699,60
61,0.31816932678222654,61
62,0.31234146118164063,62
63,0.3046862602233887,63
64,0.29681304931640623,64
65,0.28850032806396486,65
66,0.2801467227935791,66
67,0.27190470695495605,67
68,0.2658894634246826,68
69,0.25907169342041014,69
70,0.2525229644775391,70
71,0.24625637054443358,71
72,0.2400660037994385,72
73,0.234791259765625,73
74,0.22889266967773436,74
75,0.22338324546813965,75
76,0.21820636749267577,76
77,0.21334508895874024,77
78,0.20909652709960938,78
79,0.20461999893188476,79
80,0.2003632926940918,80
81,0.19617685317993164,81
82,0.19213071823120118,82
83,0.1885767936706543,83
84,0.184895658493042,84
85,0.18133649349212647,85
86,0.17792248725891113,86
87,0.1746446132659912,87
88,0.17139894485473633,88
89,0.16824064731597901,89
90,0.16528059005737306,90
91,0.16254806518554688,91
92,0.16004739761352538,92
93,0.15764351844787597,93
94,0.15521100044250488,94
95,0.1527358627319336,95
96,0.15024141311645509,96
97,0.1477668285369873,97
98,0.1453329610824585,98
99,0.14288783073425293,99
100,0.14038063049316407,100
101,0.13781206130981447,101
102,0.1352151155471802,102
103,0.13262280941009522,103
104,0.13009355068206788,104
105,0.12765511512756347,105
106,0.12535481452941893,106
107,0.12321807861328125,107
108,0.12126705646514893,108
109,0.11942399501800537,109
110,0.11761266708374024,110
111,0.11584054946899414,111
112,0.11415225028991699,112
113,0.11257324695587158,113
114,0.1111594820022583,114
115,0.10974409103393555,115
116,0.108337664604187,116
117,0.10725770950317383,117
118,0.10596931457519532,118
119,0.10461815357208253,119
120,0.10339728832244872,120
121,0.10203767776489257,121
122,0.10063047409057617,122
123,0.09958198547363281,123
124,0.09821436405181885,124
125,0.0967579174041748,125
126,0.09547105312347412,126
127,0.09406358718872071,127
128,0.09256345272064209,128
129,0.0911453628540039,129
130,0.08961106300354003,130
131,0.08798120975494385,131
132,0.08637590408325195,132
133,0.08479301929473877,133
134,0.08317736387252808,134
135,0.08155783653259277,135
136,0.07999904870986939,136
137,0.07854777574539185,137
138,0.07720773458480835,138
139,0.07599389553070068,139
140,0.07491501808166504,140
141,0.07396170139312744,141
142,0.07305400371551514,142
143,0.07213547468185424,143
144,0.07119202375411987,144
145,0.07024381160736085,145
146,0.06929413318634033,146
147,0.06833346128463745,147
148,0.06737018585205078,148
149,0.06639705181121826,149
150,0.065418541431427,150
151,0.06443586111068726,151
152,0.0634276556968689,152
153,0.0623898983001709,153
154,0.06134845733642578,154
155,0.06032023429870605,155
156,0.05929548263549805,156
157,0.05827583074569702,157
158,0.05729030609130859,158
159,0.056309294700622556,159
160,0.05531773328781128,160
161,0.05431646347045899,161
162,0.05340142250061035,162
163,0.05250870943069458,163
164,0.05164344549179077,164
165,0.050878376960754396,165
166,0.05011707305908203,166
167,0.04937559366226196,167
168,0.048764977455139163,168
169,0.048128876686096195,169
170,0.04746714115142822,170
171,0.047005760669708255,171
172,0.04644801616668701,172
173,0.045811610221862795,173
174,0.045422160625457765,174
175,0.04498110890388489,175
176,0.04445506691932678,176
177,0.044231657981872556,177
178,0.04385837078094482,178
179,0.04335065007209778,179
180,0.042843515872955325,180
181,0.04268454074859619,181
182,0.04233325719833374,182
183,0.041833744049072266,183
184,0.04132983207702637,184
185,0.04113363981246948,185
186,0.04080513954162598,186
187,0.04036450147628784,187
188,0.03993366956710816,188
189,0.03975639581680298,189
190,0.03944917678833008,190
191,0.03910821437835693,191
192,0.03878931283950806,192
193,0.038605084419250486,193
194,0.03828841924667358,194
