step,BattleShip3/conv,BattleShip3/iters,BattleShip3/nodes_touched,BattleShip3/tau,BattleShip3/alpha,BattleShip3/beta,BattleShip3/gamma
0,0.4571428571428572,0,0,,,,
1,0.45714285714285713,1,1465214,1,1.0224879191439482,-0.8825253571253122,4.9972556300742
2,1.73934132203794,2,2930428,1,1.0255333535840228,-0.8838958880641179,4.997224649023956
3,0.9932303009298925,3,4395642,1,1.0884449776372058,-0.8805370537256396,4.9967169391003425
4,0.8221375207851559,4,5860856,1,1.066200201641891,-0.8833695794431562,4.996890708076889
5,0.9081250888922592,5,7326070,1,1.0608275735161985,-0.8853953155339565,4.996924639962133
6,0.7184028212299949,6,8791284,1,1.0684281174755017,-0.886386012386948,4.9968536373083685
7,0.7131489843098694,7,10256498,1,1.0610118849183023,-0.8886637036289535,4.996904249672716
8,0.7606398316696988,8,11721712,1,1.0638031986044585,-0.8900677419785652,4.996872001643878
9,0.6011075989875434,9,13186926,1,1.0698370198756033,-0.8911728146058076,4.996812770634544
10,0.3936379324368054,10,14652140,1,1.0623645932365533,-0.8935994727325132,4.9968641316859355
11,0.4056617975780136,11,16117354,1,1.0465388088398073,-0.8972321885517374,4.99698175338664
12,0.39149012141346173,12,17582568,1,1.0509720925610044,-0.8984695509301184,4.996936605843059
13,0.38445627543692495,13,19047782,1,1.052482485225628,-0.9000933859641382,4.99691454238158
14,0.3061015136503522,14,20512996,1,1.0547735468925499,-0.9016220662889263,4.996885938029121
15,0.2940977949123816,15,21978210,1,1.047695170140451,-0.9044924214728685,4.996933089861212
16,0.250876958271433,16,23443424,1,1.0490027367935166,-0.9062003570478747,4.99691240859538
17,0.22624544555504542,17,24908638,1,1.0450111172232968,-0.908763020888947,4.9969344111540375
18,0.2117650520960453,18,26373852,1,1.0434976712691502,-0.9109860407386183,4.996936347263664
19,0.2074325463235442,19,27839066,1,1.0436377278259432,-0.9129595259206813,4.99692488149452
20,0.1685396432314502,20,29304280,1,1.0458005154187113,-0.9145932834311443,4.996896890302422
21,0.1805659278188205,21,30769494,1,1.0396512914026252,-0.9177766374833576,4.996936146492617
22,0.16630216249043578,22,32234708,1,1.0457928388376125,-0.9186836606116546,4.99687565142157
23,0.14774126004177784,23,33699922,1,1.045212276510627,-0.9208762259955026,4.996869597407583
24,0.12659989493809304,24,35165136,1,1.043027299325169,-0.9234231345891657,4.996876603220465
25,0.12266841033677005,25,36630350,1,1.0392422146670077,-0.9263664876778943,4.996896590376755
26,0.10989778022338985,26,38095564,1,1.0409139708907436,-0.9281902675628988,4.996871922804508
27,0.10132380397910792,27,39560778,1,1.0391050367088708,-0.930800686471178,4.996875637102461
28,0.09970880139347191,28,41025992,1,1.038570255808358,-0.9331647475219831,4.996868828691641
29,0.08952238166412935,29,42491206,1,1.0409280992090104,-0.9348765218277615,4.996838067333043
30,0.07691240391681604,30,43956420,1,1.0392133642293158,-0.9375710034302545,4.996840798370878
31,0.08316223050158278,31,45421634,1,1.0355464396430194,-0.9408103181106111,4.996859570836532
32,0.07489390827802425,32,46886848,1,1.0420839251287084,-0.9415059360119746,4.996793646799639
33,0.06971568635236339,33,48352062,1,1.0405014860471087,-0.9442643066795111,4.9967950546863715
34,0.06615175741084334,34,49817276,1,1.040389134130708,-0.9466815619456581,4.996784070363321
35,0.06679371822739542,35,51282490,1,1.0411288132674044,-0.9488968795285833,4.996765797758193
36,0.06361722053053606,36,52747704,1,1.044635517142673,-0.9503793897037593,4.996723874957741
37,0.0561627375835381,37,54212918,1,1.0455440644244622,-0.9525730950411959,4.996703716315248
38,0.060202602701002014,38,55678132,1,1.0430687396582776,-0.9557361646710769,4.996712350661097
39,0.07509131033314367,39,57143346,1,1.0492511563816866,-0.9564816307727115,4.996646498610484
40,0.08064201650042382,40,58608560,1,1.0622694129452013,-0.9554033707172462,4.996519148305091
41,0.10665076266776322,41,60073774,1,1.0686073628871406,-0.956172980094387,4.996448875214307
42,0.11573616012051274,42,61538988,1,1.0844454254832583,-0.954612305348455,4.996289736406197
43,0.11805873676421344,43,63004202,1,1.091344849651732,-0.9553247309753079,4.996210574266637
44,0.11644096988472445,44,64469416,1,1.0954276665860094,-0.9567113759897383,4.996157032070272
45,0.09678916913687345,45,65934630,1,1.0979709522527212,-0.9584647443806453,4.996117652332932
46,0.08191342995210682,46,67399844,1,1.0926562543220328,-0.9621407943623039,4.996153570515477
47,0.07800339306590234,47,68865058,1,1.088178649628797,-0.9657294196925266,4.996181235699629
48,0.08161816176305392,48,70330272,1,1.0891026216409696,-0.9679629382846577,4.996157230426622
49,0.07792120883989849,49,71795486,1,1.0943469249763145,-0.9690550457627078,4.996091275035148
50,0.07438455050096879,50,73260700,1,1.0953914800648885,-0.9712725668698432,4.996065435724554
51,0.06497397869046587,51,74725914,1,1.0964320511310353,-0.973508139370528,4.996039392555163
52,0.06862860097503132,52,76191128,1,1.0933923829630636,-0.9769079312149345,4.996053140057548
53,0.07368108932435799,53,77656342,1,1.0990835796235316,-0.9778701182325347,4.995980919092621
54,0.06654158311243026,54,79121556,1,1.1055470052606915,-0.9786303728423462,4.995899834124724
55,0.05758129811038405,55,80586770,1,1.1040300266638623,-0.9816330732423773,4.995898270005315
56,0.05878211091878699,56,82051984,1,1.1005443366162735,-0.9852685985785352,4.99591640027551
57,0.05830823927706766,57,83517198,1,1.104683673379949,-0.9866867918445994,4.995857549594817
58,0.05856212236688835,58,84982412,1,1.107502627369611,-0.988503232835332,4.995811457300198
59,0.04820983691788025,59,86447626,1,1.1109025859387258,-0.9901531765947396,4.995758851976826
60,0.046779232373499596,60,87912840,1,1.105094961685198,-0.9946349989411882,4.995800843365609
61,0.051008045390764076,61,89378054,1,1.106894898338562,-0.9968089157067355,4.9957644205374905
62,0.05018163631475919,62,90843268,1,1.1141075837497914,-0.9972811004804272,4.995671080654413
63,0.048721988829158014,63,92308482,1,1.1165578586175164,-0.999257292467518,4.995626659847533
64,0.046005774592512955,64,93773696,1,1.118397440067852,-1.0014359734078482,4.9955882646930245
65,0.04294833010773973,65,95238910,1,1.1189414780773765,-1.0040439759155195,4.995563353468404
66,0.04231933549181498,66,96704124,1,1.1189542196756277,-1.0068505882224366,4.995543912322788
67,0.041520598130318304,67,98169338,1,1.1214845444824042,-1.0088473760486647,4.995497084934169
68,0.03949159039138135,68,99634552,1,1.1238174797011748,-1.0109189187129082,4.995451895661248
69,0.03854653756263715,69,101099766,1,1.1247020353200883,-1.0134895331054672,4.995422119795728
70,0.03937738341284762,70,102564980,1,1.1267972523208736,-1.0156656551517713,4.99537869807701
71,0.04004816153620207,71,104030194,1,1.1310292021446595,-1.017120042424982,4.995311000065349
72,0.03532052558014563,72,105495408,1,1.1350624387345596,-1.018648831578874,4.995244644190084
73,0.035294892584540216,73,106960622,1,1.1324053223599249,-1.022500056573529,4.995253302064862
74,0.03286186218585008,74,108425836,1,1.135613248514641,-1.0243297457704406,4.995195413042991
75,0.03331340945632742,75,109891050,1,1.1355006129958232,-1.0273521598336206,4.99517487232552
76,0.031103934108095227,76,111356264,1,1.1393907063324633,-1.0289536150455394,4.995108072914407
77,0.03312185624295361,77,112821478,1,1.1394094028175115,-1.0319662139647854,4.995085417407703
78,0.03229967880511954,78,114286692,1,1.1456318581754088,-1.0327309119234984,4.994989989925091
79,0.032261829265356146,79,115751906,1,1.1477063601634332,-1.035007892702149,4.994942277818131
80,0.029949778815637096,80,117217120,1,1.150918212094312,-1.0368781320554814,4.994880470855385
81,0.030165873465025375,81,118682334,1,1.1506616428270842,-1.040026034479633,4.994859590253909
82,0.02996826686996068,82,120147548,1,1.1542745704587607,-1.041760234630571,4.994791801188033
83,0.028095404717313352,83,121612762,1,1.1572389604398312,-1.0437394224133034,4.994731071570632
84,0.026522286777587084,84,123077976,1,1.1574459539701463,-1.0467517848112795,4.9947034780163255
85,0.02567021713746262,85,124543190,1,1.1579805706483617,-1.0496610387305383,4.994671548705173
86,0.026880855962759603,86,126008404,1,1.1597042933408017,-1.0521337240239808,4.994624562371763
87,0.026504190104267064,87,127473618,1,1.1651913266289586,-1.0531811324353726,4.994529990328402
88,0.024769011443018504,88,128938832,1,1.1678084937311857,-1.0553240830022916,4.9944703686426255
89,0.024782404793062,89,130404046,1,1.1678588768544154,-1.0584568564376418,4.994442719268208
90,0.025101078749278125,90,131869260,1,1.1711813090158074,-1.0603442640856053,4.9943729317715855
91,0.024227594646360262,91,133334474,1,1.1750975048619945,-1.0620086045498076,4.99429458865584
92,0.0261790052863638,92,134799688,1,1.176699289508817,-1.0645713622637456,4.9942454405818335
93,0.02652311047930661,93,136264902,1,1.1837491623165062,-1.0650409558601344,4.9941239476580535
94,0.024367564321158677,94,137730116,1,1.1877030891150697,-1.0667085872759021,4.994041843993702
95,0.023344098772555277,95,139195330,1,1.1869234531977426,-1.0702014939242828,4.994022396317948
96,0.023410458288895458,96,140660544,1,1.1881690606723903,-1.0729318975801299,4.993975394011226
97,0.02337379534295146,97,142125758,1,1.191634025754548,-1.0748033169912867,4.993897704088516
98,0.021312377860230602,98,143590972,1,1.1948902763319453,-1.0767620093736372,4.99382189611528
99,0.02190962855586215,99,145056186,1,1.1937344280428603,-1.0804713672590247,4.9938061497522765
100,0.021899676396312948,100,146521400,1,1.1984154474719473,-1.0818759741890158,4.993709169218938
101,0.022051145948890336,101,147986614,1,1.2017351911516165,-1.0838277117545994,4.993629978067416
102,0.020662892258150406,102,149451828,1,1.2054191737090216,-1.0856402853838654,4.993544612145847
103,0.019835154480649014,103,150917042,1,1.2055880193782689,-1.0888634815280416,4.993508450299596
104,0.019741272695826734,104,152382256,1,1.206937080430395,-1.09162971204122,4.993454947702121
105,0.02011786700977164,105,153847470,1,1.2100578228289596,-1.093686679246197,4.993375213167104
106,0.019991676523636995,106,155312684,1,1.214344478696216,-1.0952760153071064,4.993277413191312
107,0.020399997150607335,107,156777898,1,1.217399243750077,-1.097370789855852,4.99319649420217
108,0.019655120060338108,108,158243112,1,1.2217654893718732,-1.0989392318099984,4.9930949765949375
109,0.01790771763655795,109,159708326,1,1.2233035269180912,-1.1016621152773634,4.993034715022217
110,0.0184661956681149,110,161173540,1,1.2220798598053055,-1.1055380308400724,4.993015535262338
111,0.0183543600423038,111,162638754,1,1.226973465341472,-1.106898109912251,4.992903092710446
112,0.01772385332061313,112,164103968,1,1.2300542555749798,-1.1090145354051746,4.9928169730621015
