step,BigLeduc/tau,BigLeduc/alpha,BigLeduc/beta,BigLeduc/gamma,BigLeduc/conv,BigLeduc/iters
0,1,1.0224879191439482,-0.8825253571253122,4.9972556300742,4.157665252685547,0
1,,,,,4.157665252685547,1
2,1,1.0255333535840228,-0.8838958880641179,4.997224649023956,6.243745565414429,2
3,1,1.045191389941824,-0.8835207128602651,4.9970663138519935,6.317889213562012,3
4,1,1.0487680684849905,-0.8848367275118179,4.997029477405537,5.746143102645874,4
5,1,1.0479595544929368,-0.8865846638188735,4.997026755093494,2.5281805992126465,5
6,1,1.0175684662614302,-0.8920808752690976,4.9972499792190455,2.2331918478012085,6
7,1,1.0155924936906136,-0.894242332873121,4.997256028380757,1.0945109128952026,7
8,1,0.9900689430949396,-0.9006896235150039,4.9974327741995275,0.9767884314060211,8
9,1,0.9885281799984273,-0.9030568136607369,4.997435410199149,0.5954336225986481,9
10,1,0.9719564617915242,-0.9088875364026023,4.997542960880696,0.47574950754642487,10
11,1,0.9660964089260802,-0.9125653466741168,4.997575038690829,0.5129319280385971,11
12,1,0.9719766830963117,-0.9133135111783863,4.997526472894898,0.44116896390914917,12
13,1,0.9689985585162939,-0.9163441103385321,4.997538778005553,0.5222843289375305,13
14,1,0.9785759667208573,-0.9161400458823841,4.997463577145484,0.5620472580194473,14
15,1,0.9844321070959499,-0.9169215433816846,4.997413361207803,0.5190698206424713,15
16,1,0.9842449924312011,-0.9192237231409808,4.9974059021904855,0.5240654498338699,16
17,1,0.9875902085916419,-0.9206442161414508,4.997372906576722,0.31205782294273376,17
18,1,0.970077823000751,-0.9277712929145361,4.9974887270668695,0.19997932016849518,18
19,1,0.9556024562615146,-0.9347308270899302,4.997580283624867,0.16513586044311523,19
20,1,0.9510511004822573,-0.9388118488730546,4.997602638625125,0.13406699523329735,20
21,1,0.9458238635862899,-0.9432482200522607,4.997629033338679,0.12762419134378433,21
22,1,0.9467958334568154,-0.9455514900061863,4.997613807950746,0.107142373919487,22
23,1,0.9428545488532403,-0.9496869783285631,4.997631163122868,0.10068555176258087,23
24,1,0.9433147633244745,-0.9522402136176742,4.997619173746955,0.07755354046821594,24
25,1,0.9359883254139567,-0.9578114139626344,4.997658227493906,0.07427290827035904,25
26,1,0.9371807080008274,-0.9601405387540232,4.997641345237451,0.06156301125884056,26
27,1,0.932713959051221,-0.9647175429725072,4.997661114615217,0.05628611147403717,27
28,1,0.9320837516975236,-0.967817996426175,4.997655868551618,0.07257069647312164,28
29,1,0.9449499057773241,-0.9655463740213468,4.997561796089889,0.09191135317087173,29
30,1,0.9571675441731649,-0.9635743795251352,4.9974686729128415,0.1704060584306717,30
31,1,0.984515675556602,-0.9561551686771792,4.997260751688534,0.22193028777837753,31
32,1,0.998026444655078,-0.9542134357922996,4.997147594600934,0.17471890151500702,32
33,1,0.9914505292327656,-0.9590941845007217,4.997187369296546,0.1306949146091938,33
34,1,0.9828666980547447,-0.964928397914639,4.997241884305584,0.11376948282122612,34
35,1,0.9803153043163846,-0.9686925073127859,4.997250418640522,0.09579997882246971,35
36,1,0.9764324042705228,-0.9730551098178777,4.997268610656709,0.08306589722633362,36
37,1,0.9737059228395195,-0.9770382676375737,4.9972779202354625,0.07594882696866989,37
38,1,0.9730888250342271,-0.9802068913611603,4.997271514139685,0.07180468738079071,38
39,1,0.9738043857353054,-0.9828543838568544,4.997255153922845,0.064565759152174,39
40,1,0.9725171383246625,-0.986348354860846,4.997253426000592,0.058060016483068466,40
41,1,0.9712289729447041,-0.9898751976001474,4.997251556774318,0.05511806346476078,41
42,1,0.9721048808592943,-0.9925192231193742,4.997233618696612,0.05631600506603718,42
43,1,0.975924255943754,-0.9939308602893571,4.997193602762541,0.05404162406921387,43
44,1,0.9772359122229242,-0.9964135052591538,4.9971719478606484,0.04954845458269119,44
45,1,0.9767195411876748,-0.999695366664298,4.997163845468624,0.04941837675869465,45
46,1,0.9795823941468798,-1.0015410876385888,4.997130095453317,0.04928537830710411,46
47,1,0.98244770001953,-1.003393318182157,4.997095932468364,0.052189525216817856,47
48,1,0.9877342048862716,-1.0042019778583064,4.99704258457727,0.04545215703547001,48
49,1,0.9851437804991334,-1.0084417590107118,4.997049978462701,0.0395946241915226,49
50,1,0.9825557823754028,-1.0127073485403253,4.997057071947875,0.03755776770412922,50
51,1,0.9834015261297973,-1.015482302161999,4.997037525472223,0.03266270458698273,51
52,1,0.9807327561640533,-1.0198275371720267,4.997044844692767,0.03233503457158804,52
53,1,0.98330369030124,-1.0218615302983811,4.997011667187568,0.03733794018626213,53
54,1,0.9921271317738711,-1.0211189669817617,4.996928899475028,0.041808901354670525,54
55,1,0.9997256601418105,-1.0209280155976135,4.996853958016471,0.04646723344922066,55
56,1,1.007041129218624,-1.0208681922004361,4.996779670156802,0.041675569489598274,56
57,1,1.0056198642608372,-1.0246840969444668,4.996777080879648,0.0409532506018877,57
58,1,1.0079250028459776,-1.0268568958570479,4.996743312848981,0.07944875210523605,58
59,1,1.038113003696211,-1.016723251602004,4.996464792277433,0.06575959920883179,59
