step,GoofSpiel4/conv,GoofSpiel4/iters,GoofSpiel4/nodes_touched,GoofSpiel4/tau,GoofSpiel4/alpha,GoofSpiel4/beta,GoofSpiel4/gamma
0,0.7083333333333333,0,0,,,,
1,0.7083333333333333,1,2154,1,1.0224879191439482,-0.8825253571253122,4.9972556300742
2,0.46678221235479184,2,4308,1,1.0255333535840228,-0.8838958880641179,4.997224649023956
3,0.4371989726018407,3,6462,1,1.0106435663207796,-0.8875737600640112,4.997326136279225
4,0.3723475045489364,4,8616,1,1.010860227813609,-0.8893713925550581,4.997316297976745
5,0.687321890570275,5,10770,1,1.0070118535445813,-0.8918121041467288,4.997336019081027
6,0.47100412978159345,6,12924,1,1.036464108382835,-0.8895693683264985,4.997107044955548
7,0.3566769797843402,7,15078,1,1.023150127866206,-0.8931194661202797,4.997199527080056
8,0.25935047034161635,8,17232,1,1.014222258059419,-0.8963539332107018,4.997257516120332
9,0.28538868295797787,9,19386,1,1.0036088098397846,-0.9001258488039161,4.997326963065779
10,0.25026917871908777,10,21540,1,1.01070535535063,-0.9008325188043975,4.997266064200478
11,0.1869930970306508,11,23694,1,1.0081002112655266,-0.9032980943485569,4.9972765091144105
12,0.13907725115966274,12,25848,1,0.9986749379162676,-0.9071974130660718,4.99733687703918
13,0.11784411165640275,13,28002,1,0.9891076259514584,-0.9114021767022742,4.997397312721779
14,0.10182209624286799,14,30156,1,0.9850815635684971,-0.9145353147184849,4.997417440671379
15,0.06458915444243207,15,32310,1,0.9818854650866506,-0.9175588317509056,4.997431517637512
16,0.06689749100043534,16,34464,1,0.9657609256805282,-0.9242360012872866,4.997535990224963
17,0.089884814670967,17,36618,1,0.9701559064095611,-0.925354289086965,4.9974968736510785
18,0.06337639671988879,18,38772,1,0.9855124291891597,-0.9234757564325595,4.997378899116516
19,0.044244171414655226,19,40926,1,0.9737673577583652,-0.9291018595454184,4.997453916450288
20,0.04047550758067071,20,43080,1,0.9616886317443598,-0.9352745566324447,4.9975297410810455
21,0.07336057061611778,21,45234,1,0.9609007214585699,-0.9380649201545239,4.997526427859173
22,0.05438614741681707,22,47388,1,0.9887976412606678,-0.9319952709446155,4.997317901118152
23,0.015609731643409744,23,49542,1,0.9791281277712638,-0.9372878535416496,4.997378998539795
24,0.025517885193599547,24,51696,1,0.9299568120357395,-0.9573669939484708,4.99770602080412
25,0.04598635908304814,25,53850,1,0.9533294005972226,-0.9512214922492572,4.997542661848933
26,0.05401734418556953,26,56004,1,0.9809232368014353,-0.9442845714089299,4.997337311068525
27,0.021035313838099545,27,58158,1,0.9906946282932703,-0.9437249571774344,4.9972550778827465
28,0.024268304692526735,28,60312,1,0.9539788440300865,-0.9592106834003669,4.9975100922544415
29,0.039927456385301464,29,62466,1,0.9628964316109117,-0.9585851342059812,4.997438313263108
