step,LeducPoker/conv,LeducPoker/iters,LeducPoker/nodes_touched,LeducPoker/tau,LeducPoker/alpha,LeducPoker/beta,LeducPoker/gamma
0,2.373611111111111,0,0,,,,
1,2.373611111111111,1,18914,1,1.0224879191439482,-0.8825253571253122,4.9972556300742
2,2.051730953141465,2,37828,1,1.0255333535840228,-0.8838958880641179,4.997224649023956
3,1.815361112629813,3,56742,1,1.0225590324593692,-0.8859943627131712,4.997238410038732
4,1.7231218442257759,4,75656,1,1.0205503129267404,-0.8880268935838529,4.997244897739822
5,1.6654272330916708,5,94570,1,1.0214383640959444,-0.8897074118318629,4.997229745860871
6,1.5262164189015537,6,113484,1,1.023073445231982,-0.891298118184924,4.997208855935112
7,1.0505701566145362,7,132398,1,1.0225104600563721,-0.8932113482824597,4.997204340299897
8,1.0118783185402611,8,151312,1,1.0101771619340782,-0.8970179126474838,4.9972874298259775
9,1.0145804857182643,9,170226,1,1.0116557175079899,-0.8987073854989571,4.997267812189712
10,1.0192141517767552,10,189140,1,1.014786758321312,-0.9001232263429615,4.997235692458428
11,0.7614142006543783,11,208054,1,1.0180020174817963,-0.9015293039888039,4.9972025867758045
12,0.5264196709333466,12,226968,1,1.009043404292844,-0.9051409512320623,4.997260598689886
13,0.37955988174925204,13,245882,1,0.9969771855142802,-0.9096584690255516,4.997340444371426
14,0.32984008503133483,14,264796,1,0.9866928019867709,-0.9141493474918119,4.997405924517793
15,0.3087968451728872,15,283710,1,0.9839863986109922,-0.9170322509811641,4.997416545338718
16,0.25327277031765205,16,302624,1,0.9842872469383888,-0.9192129799990536,4.997405599455467
17,0.23539955909148977,17,321538,1,0.9792533565581731,-0.9228268481502924,4.99743270647114
18,0.25017747527792616,18,340452,1,0.9792591374140571,-0.9251627018566873,4.997423790265618
19,0.22246076790018973,19,359366,1,0.9846724927493282,-0.9260284747264178,4.997375885277221
20,0.1752398861048626,20,378280,1,0.9828913957104937,-0.9288827554119916,4.997379611958308
21,0.19455993243492237,21,397194,1,0.9762311001045392,-0.9332330294756437,4.997418351880211
22,0.19580614780974245,22,416108,1,0.9833994910177402,-0.9335483106890154,4.997357379249642
23,0.15150864725074606,23,435022,1,0.9866213449282022,-0.9350388197309922,4.997324377336075
24,0.1368724165320171,24,453936,1,0.9792199830527353,-0.9397581129445234,4.997368907722021
25,0.10970015497804651,25,472850,1,0.9780769507074407,-0.9426515449801744,4.997367700181797
26,0.10931221402604366,26,491764,1,0.972120547420487,-0.9472092110599961,4.997401263000336
27,0.10289225195522408,27,510678,1,0.9749191102629848,-0.9488734396113483,4.997371429120818
28,0.08235325514117461,28,529592,1,0.9754280635284986,-0.9513357899607167,4.997358002483211
29,0.07272473391002246,29,548506,1,0.9694148791862667,-0.9561677390332168,4.997391837621169
30,0.07730609615053363,30,567420,1,0.9673465888589081,-0.9596710662777863,4.997396830570983
31,0.07083990868137906,31,586334,1,0.9727467029132586,-0.9604094451964393,4.9973478207516635
32,0.08403170438753604,32,605248,1,0.9721652949502633,-0.9633966347116238,4.9973419094214115
33,0.0861445126471843,33,624162,1,0.98201647556871,-0.962480289465093,4.9972587715031915
34,0.15460792017807126,34,643076,1,0.9859845121593913,-0.963772771373127,4.9972183187994546
35,0.1232192631832345,35,661990,1,1.0128862648538037,-0.9572095738954189,4.996997750678961
36,0.11667437526510727,36,680904,1,1.006563800068308,-0.9619309121584534,4.997036740732517
37,0.13193713940963814,37,699818,1,1.007329310430976,-0.9643534454963003,4.997019237304577
38,0.11906866919717679,38,718732,1,1.0154092139993252,-0.9642913757190883,4.996942619167678
39,0.10526357996676547,39,737646,1,1.01419556300262,-0.9673937493943894,4.996940621912804
40,0.10094767329552622,40,756560,1,1.0121322359958942,-0.9708460230010578,4.996945450553824
41,0.09244403576788641,41,775474,1,1.0134245212509918,-0.9731471597131425,4.996922895871237
42,0.08584429655519862,42,794388,1,1.0128135264375842,-0.9761600711452019,4.996915725245886
43,0.0913223570250824,43,813302,1,1.0127768611040497,-0.9789970708824127,4.996903749085341
44,0.08605177862843089,44,832216,1,1.0183581588244488,-0.9797523779983899,4.99684515135738
45,0.08147068070483475,45,851130,1,1.0189270274384206,-0.982383756337015,4.996827723372989
46,0.0844632260104873,46,870044,1,1.0196923596979437,-0.9849636260477415,4.996808482689137
47,0.08018286870652974,47,888958,1,1.0242265427238273,-0.9861203977209068,4.996757153958748
48,0.07472430862148693,48,907872,1,1.0251068099613594,-0.9886782622941688,4.996736416108558
49,0.08642973082287055,49,926786,1,1.025217853433211,-0.991557137012198,4.996722079010434
50,0.08590481034078026,50,945700,1,1.0343394050808765,-0.9909591308492782,4.996629468840751
51,0.0890049072289282,51,964614,1,1.0371479267575245,-0.992799783139418,4.996590837130185
52,0.09164358460370065,52,983528,1,1.0417055152988588,-0.9939818971073735,4.9965361891763
53,0.0950971438405497,53,1002442,1,1.0460131134406383,-0.9952673692195586,4.9964830383114
54,0.08631399986045821,54,1021356,1,1.0506603178267775,-0.9964333009614936,4.996426070775099
55,0.07982071846209188,55,1040270,1,1.0496598611926098,-0.9997472363485711,4.996420217630607
56,0.07493101362788296,56,1059184,1,1.0494485209532898,-1.002799247535939,4.99640702873541
57,0.06862401808714799,57,1078098,1,1.0498698596504399,-1.0056341084654554,4.996387875989913
58,0.06003656830890475,58,1097012,1,1.0492477461287153,-1.0089188909063922,4.996378187234085
59,0.05884650713013409,59,1115926,1,1.046695105676726,-1.0130520299582737,4.99638622423859
60,0.05472106845544539,60,1134840,1,1.0489374499198025,-1.0152214547713188,4.99634977489958
61,0.053429980743963185,61,1153754,1,1.048957077034146,-1.0183453536644467,4.996333704116849
62,0.0570128434269562,62,1172668,1,1.0510382135799778,-1.0206036961045424,4.996298121268311
63,0.050093692716859095,63,1191582,1,1.0568856080301514,-1.0212578376081942,4.9962263952178265
64,0.05064094439865935,64,1210496,1,1.054497370649981,-1.0254499032634903,4.996232485702059
65,0.04908166275621208,65,1229410,1,1.058059587111619,-1.0270892601883248,4.9961815625991335
66,0.04869927635445612,66,1248324,1,1.0598352068071935,-1.029511948663509,4.996147306388668
67,0.04371846463959965,67,1267238,1,1.062611557687049,-1.0315057420895135,4.996102930614136
68,0.04183727756835881,68,1286152,1,1.0611243228332023,-1.035381533713663,4.996099814363907
69,0.03755889817343169,69,1305066,1,1.0623595960912726,-1.0380734313372308,4.996069896731962
70,0.0366087430966871,70,1323980,1,1.0608720825611884,-1.0419916668917555,4.996066469278597
71,0.036794759017930834,71,1342894,1,1.0628885198615547,-1.0443586161013325,4.996028350586506
72,0.03147123614372699,72,1361808,1,1.066217657848105,-1.0461431186803183,4.995976721853449
73,0.030908139162097892,73,1380722,1,1.0626599878856728,-1.0510485279156476,4.995993425965928
74,0.033626013434490454,74,1399636,1,1.0649999491156845,-1.0532974180823882,4.995951092990147
75,0.03268342577653613,75,1418550,1,1.0717239093466056,-1.0535569264130635,4.995863787247668
76,0.023856653493309093,76,1437464,1,1.0736303699077432,-1.0560129781812744,4.995824587406596
77,0.02312001016765907,77,1456378,1,1.0632698030764043,-1.064131835839965,4.995910102484331
78,0.03204091805398617,78,1475292,1,1.0650390419961662,-1.0666859357997756,4.995872290710788
79,0.027566043492516956,79,1494206,1,1.0821806118216337,-1.062134680812373,4.995674635395052
80,0.022730645106308234,80,1513120,1,1.0788355164222774,-1.0670395255262233,4.99568889719893
81,0.02456037658124688,81,1532034,1,1.0736705604763863,-1.0728427812625738,4.995721912524212
82,0.025821531104161105,82,1550948,1,1.0801342731646195,-1.0732258431400041,4.995632688534082
83,0.024150240180750043,83,1569862,1,1.0854364490408288,-1.0741595922071554,4.9955543377087235
84,0.027365800357212616,84,1588776,1,1.0856894540493482,-1.0774611406747092,4.99552950650368
85,0.02642097609708488,85,1607690,1,1.0942611612667479,-1.0768788008462433,4.995413585930255
86,0.0226792923595144,86,1626604,1,1.0958959367493462,-1.0795420176589334,4.9953725427665585
87,0.024155403855501453,87,1645518,1,1.092420429541443,-1.0846213631847388,4.9953877402122275
88,0.025691664166513473,88,1664432,1,1.0983240644931949,-1.08529344349526,4.995298525253027
89,0.023540401672004663,89,1683346,1,1.1041868270472883,-1.0859949373739073,4.995208308974094
90,0.021805546875603266,90,1702260,1,1.1035413325370307,-1.089767308280583,4.995191192643457
91,0.022062339448598978,91,1721174,1,1.103371583294366,-1.0933351900457342,4.99516840286475
92,0.021025393448859786,92,1740088,1,1.107061210084888,-1.0950770255168127,4.99510091544789
93,0.021143367548631997,93,1759002,1,1.108134226143023,-1.0980745753050891,4.995062999356512
94,0.018659002501473093,94,1777916,1,1.1115644877581434,-1.0999528811425412,4.994997069835302
95,0.017647407719937468,95,1796830,1,1.1092668816573912,-1.1045964576287846,4.994997812457711
96,0.01911663339008387,96,1815744,1,1.1100064231343718,-1.107795348007483,4.994962635431623
97,0.01857360499305699,97,1834658,1,1.1167093573766724,-1.1081051707514424,4.9948560189527615
98,0.0156050451695946,98,1853572,1,1.1186367702954527,-1.1107387800401343,4.99480537221922
99,0.02110877314796951,99,1872486,1,1.1141662295908747,-1.116517615793967,4.994831463432041
100,0.01785523629476106,100,1891400,1,1.130712195323449,-1.1120426093628042,4.9946009503087865
101,0.019464012764134328,101,1910314,1,1.126507595288697,-1.117671289468518,4.994624101881339
102,0.019294566317337447,102,1929228,1,1.1335507968536835,-1.1178404784240055,4.994506809785829
103,0.01748769505652803,103,1948142,1,1.1363867049927476,-1.1200653820600026,4.994440984065397
104,0.01976853696426281,104,1967056,1,1.1352369008946253,-1.1242477083731541,4.994425216432235
105,0.018839594958184158,105,1985970,1,1.1439356754014502,-1.123620470547246,4.994282570637549
106,0.017046730192055756,106,2004884,1,1.1450232548781205,-1.1267186384398962,4.99423687836758
107,0.020323727733140423,107,2023798,1,1.1437910562608429,-1.1309721685577285,4.994221051087825
108,0.01923085048825303,108,2042712,1,1.154921740909016,-1.1291630777409778,4.994041330102773
109,0.015144450202632775,109,2061626,1,1.1556922814024329,-1.1324361583068425,4.993997730666296
110,0.015438262971035593,110,2080540,1,1.1482183115863942,-1.1398146899478512,4.994064342219433
111,0.016025816358078607,111,2099454,1,1.152326730124752,-1.1414660491440298,4.993975491119713
112,0.013757252579331802,112,2118368,1,1.1572600138395668,-1.142711992058829,4.993874134191751
113,0.01206401581072157,113,2137282,1,1.153650498219187,-1.1482490880111207,4.9938885080387925
114,0.012863477690829225,114,2156196,1,1.1510037799635224,-1.1533494337612724,4.993889480139345
115,0.012958400842726939,115,2175110,1,1.1571369644166567,-1.1539903392125255,4.99376969386959
116,0.010604579699462116,116,2194024,1,1.1607266317851392,-1.1559344971236876,4.993683486432209
117,0.011873536253933614,117,2212938,1,1.1549597685348554,-1.1626916701948609,4.993727150676916
118,0.011073441056747499,118,2231852,1,1.1633077360205122,-1.1621953052235956,4.993572888825757
119,0.010583176773066874,119,2250766,1,1.1634226495793238,-1.1659517011083766,4.993533363251099
120,0.009746101496272974,120,2269680,1,1.1646425273375955,-1.1691524205530182,4.993477576897799
121,0.009199139600913182,121,2288594,1,1.164186208074474,-1.1732424987282837,4.993445252588616
122,0.00887359004601826,122,2307508,1,1.1648422912012688,-1.1767697861308477,4.99339646956535
123,0.00885252112657145,123,2326422,1,1.1664798810648138,-1.1797936322062421,4.993332858161882
124,0.009031397371387834,124,2345336,1,1.1696411538902556,-1.1820207166561727,4.993246139961954
125,0.009717829556030178,125,2364250,1,1.1738221989176503,-1.183714484233768,4.993143135645172
126,0.010575470430576009,126,2383164,1,1.1804347949984013,-1.1841310950435144,4.993002024221113
127,0.008658124694407021,127,2402078,1,1.1875872695641116,-1.1842775824669651,4.992850131406897
128,0.008967895839073509,128,2420992,1,1.1817533138195193,-1.1912815332369133,4.992895771451575
129,0.010122895778444246,129,2439906,1,1.186649602176206,-1.1926190919541289,4.992776453335924
130,0.007623115536219416,130,2458820,1,1.1954997742548688,-1.1918711244512576,4.9925932037191565
131,0.007809802951082412,131,2477734,1,1.1858226302111725,-1.2009980689819533,4.992699173537696
132,0.008971373177222214,132,2496648,1,1.1902252195364613,-1.2026140882987744,4.992584177129076
133,0.007100670135201936,133,2515562,1,1.1998925662013329,-1.2014106254435262,4.992383120952349
134,0.008540275420714713,134,2534476,1,1.1924722826299474,-1.2094194047679527,4.992454359800343
135,0.008397776560923734,135,2553390,1,1.2042635078979398,-1.2070543082970437,4.992215284025892
136,0.007427904588449552,136,2572304,1,1.2068111859997321,-1.2096948147334918,4.99212381653218
137,0.007319461846680253,137,2591218,1,1.2044765690409922,-1.2149929219000688,4.992112159708002
138,0.007568333184923615,138,2610132,1,1.2071210378821497,-1.2176037360143592,4.99201744311959
139,0.007498703253013356,139,2629046,1,1.2119930355011423,-1.219005428190062,4.991883956772483
140,0.006664960592883712,140,2647960,1,1.21489882472805,-1.2214867048438829,4.9917819724179875
141,0.007117500035234911,141,2666874,1,1.2127780688235177,-1.2267392809123194,4.991764788646486
142,0.007451418797629394,142,2685788,1,1.2191569571518348,-1.227324985736156,4.9916008897145625
143,0.006819889073536103,143,2704702,1,1.2246320112000237,-1.2284176038182628,4.991450010793034
144,0.0076527225766165885,144,2723616,1,1.2238610229435596,-1.2329554252468524,4.99140735942375
145,0.006869019367168661,145,2742530,1,1.2325839826988394,-1.2322685250750898,4.99119483874864
146,0.008669187532764064,146,2761444,1,1.2308991619277316,-1.2373258478001417,4.991166883400026
147,0.01025504999448465,147,2780358,1,1.2451666101924,-1.2336113693743365,4.990846827391568
148,0.007646806443644627,148,2799272,1,1.2564733801927819,-1.2315861597489048,4.990573666127822
149,0.008920257771752704,149,2818186,1,1.246025574974384,-1.2414005898970322,4.9907081717432975
150,0.007710539063526534,150,2837100,1,1.2566724582330415,-1.2396998010393434,4.990443644915985
151,0.008063075967219113,151,2856014,1,1.253183204367199,-1.2457654106371627,4.990446279376306
152,0.008935906439753491,152,2874928,1,1.258686779752872,-1.2468944022781572,4.990275296411548
153,0.007783135781632991,153,2893842,1,1.2669596976312665,-1.2465106721341557,4.990046963257218
154,0.00765687752303347,154,2912756,1,1.263812282885591,-1.2524205378902644,4.990041554187046
155,0.008657165616370865,155,2931670,1,1.266440642557985,-1.2551606366655956,4.989921069732745
156,0.008553243955675832,156,2950584,1,1.2756928664710558,-1.254236731399216,4.989665084712291
157,0.0071030107592204295,157,2969498,1,1.2785376541859201,-1.2568649579156572,4.9895357126140265
158,0.009329876578883414,158,2988412,1,1.2731011071596594,-1.2641240993368352,4.989575049441469
159,0.007072252459137007,159,3007326,1,1.2895573076788056,-1.25919828523597,4.989159816079406
160,0.009122963661730904,160,3026240,1,1.2797294503422043,-1.2689173158995954,4.989291253160729
161,0.0073483509511940714,161,3045154,1,1.2953623895672792,-1.2644356444875875,4.988884041608807
162,0.007300217161661474,162,3064068,1,1.2884160161581444,-1.272577611627724,4.988955543551874
163,0.007651901521544824,163,3082982,1,1.2915361214008736,-1.2751082184886366,4.98881032939115
164,0.006628210933584622,164,3101896,1,1.2972377539471436,-1.2761874183387336,4.988606675516837
165,0.006990709655486094,165,3120810,1,1.2937768977110766,-1.2824716167234447,4.988601744645468
166,0.006162208737098163,166,3139724,1,1.2997799231255405,-1.2833837870890745,4.988387386010261
167,0.00620040913297798,167,3158638,1,1.2971555032628832,-1.2892450828096294,4.988362654830147
168,0.007317378895051574,168,3177552,1,1.3008972941317822,-1.2914650503172744,4.988194699881371
