step,LiarsDice3/conv,LiarsDice3/iters,LiarsDice3/nodes_touched,LiarsDice3/tau,LiarsDice3/alpha,LiarsDice3/beta,LiarsDice3/gamma
0,0.5555555555555555,0,0,,,,
1,0.5555555555555555,1,2294,1,1.0224879191439482,-0.8825253571253122,4.9972556300742
2,0.3054048909125567,2,4588,1,1.0255333535840228,-0.8838958880641179,4.997224649023956
3,0.41431888743869627,3,6882,1,1.0026793400215437,-0.8887418227752784,4.997383681150341
4,0.29829922650981877,4,9176,1,1.0188628579314996,-0.8882515284148296,4.997257425260928
5,0.17882176185999574,5,11470,1,1.007679203206044,-0.8917081069985391,4.997331166572618
6,0.20446347062880998,6,13764,1,0.9887501983510045,-0.8969066580978036,4.997458414274334
7,0.08573544768850559,7,16058,1,0.9974540651020125,-0.8972804076551932,4.997388393007584
8,0.05146608797118439,8,18352,1,0.9635796465436897,-0.9065338856749481,4.997615862640627
9,0.025707295583939554,9,20646,1,0.9452057557406481,-0.9136356318774219,4.997729898098786
10,0.014916057874205725,10,22940,1,0.9194189850365644,-0.9240652736156607,4.997885310139928
11,0.0079242655974575,11,25234,1,0.8998100024791891,-0.9335671117763042,4.997993889588853
12,0.004798741014787361,12,27528,1,0.8766468443132149,-0.9449612284759032,4.998115343578571
13,0.003021015148497029,13,29822,1,0.8590000968785589,-0.9548167935433394,4.9982009595552315
14,0.0019516056576873997,14,32116,1,0.8430872432149703,-0.9644947936357109,4.998274125466837
15,0.0013071906780332612,15,34410,1,0.8283496122528593,-0.9741561323698054,4.998338697701105
16,0.0008978558067196732,16,36704,1,0.8151776928012651,-0.9835579795543499,4.998393483603305
17,0.0006305264028451107,17,38998,1,0.8031112500551887,-0.9928144101159209,4.998441165260194
18,0.00045160003074613125,18,41292,1,0.7920075269086932,-1.001934994560554,4.998482919213382
19,0.0003291958707309431,19,43586,1,0.7817516474530688,-1.010939428541834,4.998519680303769
20,0.00024380163580189906,20,45880,1,0.7722513598242946,-1.0198381800023881,4.9985521902275405
21,0.0001831652104135606,21,48174,1,0.763447710616719,-1.0286331679981782,4.9985810562188435
22,0.00013941384101295168,22,50468,1,0.7552692290586773,-1.0373315614408818,4.998606761770164
23,0.00010738213793057977,23,52762,1,0.7476515578916416,-1.045940609068958,4.998629703433499
24,8.361612819239583e-05,24,55056,1,0.7405339353638452,-1.0544727939078948,4.9986501921094355
25,6.576585317956407e-05,25,57350,1,0.7338601925831301,-1.0629432336127183,4.998668475786091
26,5.2206877776392324e-05,26,59644,1,0.7275907976039537,-1.0713552097040024,4.998684795196068
27,4.179975048673734e-05,27,61938,1,0.7216903792143228,-1.0797091521365711,4.998699351600926
28,3.3734341725752404e-05,28,64232,1,0.7161187344815259,-1.0879806595469526,4.998712278557335
29,2.742741301525048e-05,29,66526,1,0.71084791062099,-1.096168244456179,4.998723722702805
30,2.245416391663535e-05,30,68820,1,0.7058558031479789,-1.1042782212956377,4.998733822245001
31,1.8501824644343023e-05,31,71114,1,0.7011226022750936,-1.112316256959269,4.998742696933869
32,1.533777140136361e-05,32,73408,1,0.6966304819844482,-1.1202874084689904,4.998750451018943
33,1.2787344959547253e-05,33,75702,1,0.6923629680612109,-1.128194066631788,4.998757175713659
34,1.0718238622600684e-05,34,77996,1,0.6883064971415143,-1.1360393791695635,4.998762949947308
35,9.029389208145555e-06,35,80290,1,0.6844758810652409,-1.1438252228465369,4.998767816815526
36,7.6429906707004e-06,36,82584,1,0.6808681951990139,-1.1515545656792923,4.998771829670006
37,6.498696884967015e-06,37,84878,1,0.6774689682895121,-1.1592310635035472,4.998775047059448
38,5.549375010141522e-06,38,87172,1,0.6742650323006381,-1.1668580681562235,4.998777520994407
39,4.7579678240025625e-06,39,89466,1,0.6712443752193675,-1.1744386606829902,4.9987792978025265
40,4.0951564858199285e-06,40,91760,1,0.6683960137227931,-1.1819756801131442,4.998780418851757
41,3.5376060609423887e-06,41,94054,1,0.6657098826083472,-1.1894717484940047,4.9987809211647605
