step,SmallMatrix/conv,SmallMatrix/iters,SmallMatrix/nodes_touched,SmallMatrix/tau,SmallMatrix/alpha,SmallMatrix/beta,SmallMatrix/gamma
0,3000.2666666666664,0,0,,,,
1,3000.2666666666664,1,42,1,1.0224879191439482,-0.8825253571253122,4.9972556300742
2,91.72324088101169,2,84,1,1.0255333535840228,-0.8838958880641179,4.997224649023956
3,11.562180038102115,3,126,1,0.9170849721850618,-0.9078242139017751,4.997948791288248
4,2.980455620939903,4,168,1,0.8559406692923079,-0.9314088773088605,4.998277876493259
5,1.345804913234697,5,210,1,0.817702869327968,-0.9496929557499167,4.9984544136781786
6,0.9118089645384965,6,252,1,0.7967967177125077,-0.9621071987964693,4.998540889410474
7,0.768141804391242,7,294,1,0.7880077830809487,-0.9694318434497451,4.998572220020357
8,0.7121949474891082,8,336,1,0.785599334430338,-0.9737260609547351,4.998576206946742
9,0.687297480424427,9,378,1,0.7859781822896441,-0.9766236733957903,4.998568418627842
10,0.6747377128829166,10,420,1,0.7875224806475425,-0.9789308393030769,4.998555629030134
11,0.6675007948931209,11,462,1,0.7895690192238305,-0.9809857951698251,4.998540573563756
12,0.6626762525195969,12,504,1,0.7918433000339042,-0.9829299885525136,4.998524380874626
13,0.6589503299839419,13,546,1,0.794225644881019,-0.9848253778955709,4.998507543022397
14,0.6556849348218902,14,588,1,0.7966604970627444,-0.98670078867236,4.998490288418404
15,0.6525486051719926,15,630,1,0.7991203435828371,-0.9885705110741467,4.998472729939557
16,0.6493575089798513,16,672,1,0.8015906285126742,-0.9904421096680416,4.99845492695675
17,0.6460025703429431,17,714,1,0.8040630896538028,-0.9923198801880553,4.998436912813061
18,0.6424142356952293,18,756,1,0.8065326559990291,-0.9942064609610473,4.998418707668808
19,0.6385446151266551,19,798,1,0.8089959301616887,-0.9961036216839492,4.998400324815737
20,0.6343580332409515,20,840,1,0.8114504108410046,-0.998012667802969,4.99838177393314
21,0.629825820052823,21,882,1,0.8138940759000433,-0.9999346575249213,4.998363062850002
22,0.6249233150679311,22,924,1,0.8163251477353444,-1.0018705241246506,4.998344198550979
23,0.6196280590467163,23,966,1,0.8187419534967488,-1.0038211490095283,4.9983251877895505
24,0.6139186349500186,24,1008,1,0.8211428354980908,-1.0057874087721843,4.998306037495117
25,0.6077738648276985,25,1050,1,0.8235260880368922,-1.0077702086152718,4.998286755074402
26,0.60117219664422,26,1092,1,0.8258899073326491,-1.0097705090844766,4.998267348664193
27,0.5940911825284136,27,1134,1,0.8282323466623627,-1.011789350264015,4.998247827370367
28,0.5865069860780138,28,1176,1,0.8305512715046182,-1.0138278761808213,4.998228201517193
29,0.34544397594070947,29,1218,1,0.8328443108025199,-1.0158873615058646,4.998208482926004
30,0.28133361028227055,30,1260,1,0.8195333532812366,-1.0262999179343522,4.998264688724269
31,0.2888036869726036,31,1302,1,0.8160245924153064,-1.031600521779803,4.998272856552089
32,0.27130980133143695,32,1344,1,0.8194612285506491,-1.0330509819211497,4.998247847627541
33,0.327713546344614,33,1386,1,0.8202375480784401,-1.0359991083868976,4.9982353559261785
34,0.3699300252440012,34,1428,1,0.828602702832892,-1.034726065915489,4.998185682079183
35,0.3624471153101423,35,1470,1,0.8349627473250227,-1.034611207818753,4.998144900696831
36,0.3348339452227228,36,1512,1,0.8370316456483433,-1.0368511669682565,4.998125194255309
37,0.29288050361471357,37,1554,1,0.8373091727442481,-1.0400793236195054,4.998114391534434
38,0.22992714132351572,38,1596,1,0.8359204270047385,-1.0442484747208463,4.99811192929959
39,0.17962097317006503,39,1638,1,0.8312433153704515,-1.0503169074775163,4.998125916172647
40,0.15548679314603162,40,1680,1,0.8264312078589453,-1.0565712892334171,4.998140245175778
41,0.14376207832833723,41,1722,1,0.8247332908409684,-1.0610852715429915,4.99813888742582
42,0.1360359825349194,42,1764,1,0.8250277852981134,-1.0644498637957798,4.99812753659624
43,0.12125240357434186,43,1806,1,0.8260229624984363,-1.0674117228741518,4.998112559003426
44,0.09484151983626322,44,1848,1,0.8252074225544259,-1.0714813797390201,4.998106471748857
45,0.0748525269967738,45,1890,1,0.8204536231693051,-1.0780183793094853,4.998119850755642
46,0.06718612052873829,46,1932,1,0.8159962974686619,-1.0844924928684732,4.9981315221276965
47,0.06530755204075306,47,1974,1,0.8154039428673938,-1.0885716025922476,4.998124041225278
48,0.06409100549075969,48,2016,1,0.8171976779685823,-1.0911288990329888,4.998104657658812
49,0.055315275485363,49,2058,1,0.8192808761187025,-1.0935080395337207,4.998083609615154
50,0.04064077998192211,50,2100,1,0.8175127905598463,-1.098414165351878,4.998081611345191
51,0.03483974416789848,51,2142,1,0.810950433572827,-1.1066064393351172,4.998103248728813
52,0.03449082612366396,52,2184,1,0.8090030572590037,-1.1117905554197796,4.998101873800861
53,0.03570837430223729,53,2226,1,0.8113301533639214,-1.114050494481963,4.998079275996609
54,0.0321110546689694,54,2268,1,0.8149958721713624,-1.1153952223796058,4.998049697923799
